regime_dimension,bucket,bars,dd20_rate_pct,avg_drawdown_pct,p90_drawdown_pct,avg_ema_state,mixed_ratio_pct,avg_risk_gap_pct,avg_retrace_12_pct,long_trap_ratio_pct
ema_order_state_bin,mixed,749097,65.5916390000227,27.878963835041358,48.92289052510396,0.0,100.0,0.408171603838838,1.985405051119062,8.06904846768843
ema_order_state_bin,ordered_bear,691071,47.87728033733147,23.03126879303711,55.261004115162606,-1.0,0.0,0.47338826758560265,2.4779137667926414,0.0
ema_order_state_bin,ordered_bull,722146,40.21347483749824,18.618753734434605,39.930511871793925,1.0,0.0,0.908603370825799,1.4342134261164314,22.135136108210805
risk_gap_bin,risk_below_line,644164,56.39728392148583,24.835699702567297,46.5656878394949,-0.0927745108388547,38.47125887196428,-1.9723642692650323,4.246510482884705,34.19827869921324
risk_gap_bin,risk_0_2,1030944,53.70475990936462,24.04874777567675,46.5656878394949,0.1073763463388894,34.51525980072632,1.0285297987264452,1.1682690938664713,0.0
risk_gap_bin,risk_2_5,459185,40.81426875877914,19.613645707709384,42.066136179355404,-0.009989437808290777,30.618160436425406,2.885748084544749,0.611349671747977,0.0
risk_gap_bin,risk_5_plus,28021,29.410085293172976,15.998032474627966,34.58047998758534,-0.5451268691338639,17.315584740016416,6.214143511823381,0.527997241353134,0.0
retrace_bin,ret_0_3,1668874,52.12622402889613,23.437424595231047,46.5656878394949,0.08419748884577266,33.98560945883272,1.3682266214661938,0.9648581433127791,6.612782031477511
retrace_bin,ret_3_6,364560,52.2819289005925,23.583375664471152,46.56568783949489,-0.1336405529953917,37.78801843317972,-1.022214011608431,4.13211559855978,26.665569453587885
retrace_bin,ret_6_9,87360,45.09729853479853,21.704598977108144,48.91346982982134,-0.3956043956043956,35.714285714285715,-3.5741062349861195,7.240047675470157,13.414606227106226
retrace_bin,ret_9_plus,41520,30.57321772639692,15.365388475350294,37.211567207087064,-0.630057803468208,31.213872832369944,-7.453185373182481,11.711596929734414,2.4157032755298653
long_trap_bin,trap_off,1942021,51.12009602367843,23.224787955790095,46.5656878394949,-0.06630875773227993,35.460584617777045,0.7992140587305793,1.8184851588901136,0.0
long_trap_bin,trap_on,220293,54.40390752316233,23.34492122594227,40.983458160935584,0.7256154303586587,27.43845696413413,-1.1940514148526682,3.195064910699081,100.0
