variant,sr_mode,smc_block_mode,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,long_sweep_events,short_sweep_events,gated_entries,blocked_long_gate,blocked_short_gate,blocked_long_smc,blocked_short_smc,flat_due_sr,sr_short_override_bars,survived_to_end,first_liquidation_ts,delta_cagr_vs_baseline,delta_mdd_vs_baseline,delta_calmar_vs_baseline
baseline_short_gate24h_shorttp15_2x_smc5_2021plus,none,opp5,32198.050068109358,3119.805006810936,95.04319487747601,52.353615757958735,1.8154084202489424,109,70,39,10,80,18,0,18,35642,780,719,39,0,31223,3648,263,0,0,1,,-7.891862508142594,-9.772116745209146,0.15852562405221682
baseline_short_gate24h_shorttp15_2x_2021plus,none,none,39569.057423396815,3856.905742339681,102.9350573856186,62.12573250316788,1.6568827961967256,145,92,53,12,108,24,0,24,44777,780,719,53,0,19816,0,0,0,0,1,,0.0,0.0,0.0
redavg_align_smc5_2021plus,redavg_align,opp5,2242.54086895849,124.254086895849,16.81217773390804,54.05770592224128,0.3110042767647472,1091,1033,58,1,1086,3,0,3,1967,780,719,58,0,52443,13514,314,64584,0,1,,-86.12287965171056,-8.068026580926599,-1.3458785194319784
redfloor_align_smc5_2021plus,redfloor_align,opp5,1909.5690497750295,90.95690497750294,13.25477181761061,54.622956363512344,0.2426593633892852,1017,966,51,1,1014,1,0,1,1416,780,719,51,0,50933,12820,257,64788,0,1,,-89.680285568008,-7.502776139655538,-1.4142234328074403
redavg_align_2021plus,redavg_align,none,222.0077682244615,-77.79922317755386,-25.143302687987735,88.63491644464703,-0.28367266193216145,2800,2633,167,1,2793,5,0,5,4888,780,719,167,0,47653,0,0,64584,0,1,,-128.07836007360635,26.50918394147915,-1.940555458128887
redfloor_align_2021plus,redfloor_align,none,208.97826188525642,-79.10217381147436,-26.009416009021493,88.7284758895612,-0.29313493496039494,2643,2498,145,1,2638,3,0,3,4058,780,719,145,0,46532,0,0,64788,0,1,,-128.9444733946401,26.602743386393314,-1.9500177311571205
band_switch_smc5_2021plus,band_switch,opp5,46.09510575843214,-95.39048942415678,-44.68211488725705,97.79421453029695,-0.45689936875984,2280,2246,34,2,2277,0,0,0,0,780,719,34,0,69899,27619,158,29006,56025,1,,-147.61717227287565,35.66848202712907,-2.113782164956566
band_switch_2021plus,band_switch,none,0.028944140210567123,-99.99710558597894,-86.6115330843184,99.99830493104884,-0.8661300123440999,6667,6565,102,0,6666,0,0,0,0,780,719,102,0,69483,0,0,29006,56025,1,,-189.546590469937,37.872572427880954,-2.5230128085408254
