timestamp,open,high,low,close,ema20,white_avg,red_avg,red_floor,equity,wallet,reserve,margin,side,locked_side,short_gate_open,short_sweep_event,trend_4h_confirmed,bearish_ob_above_count,bullish_ob_below_count,long_block_active,event_flag,variant,equity_index_2026,drawdown_2026_pct
2026-01-01 00:00:00,87632.9,87670.1,87600.0,87614.9,87703.06181228237,87856.4877657636,87850.86197870006,87839.64769298577,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 00:15:00,87614.8,87791.9,87614.8,87731.4,87705.76068730309,87886.85292246226,87882.93604753116,87856.028904674,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 00:30:00,87731.4,87754.0,87712.6,87735.0,87708.54538375042,87902.00177890877,87899.44038636197,87891.15467207626,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 00:45:00,87735.0,87747.0,87701.7,87721.7,87709.79820434561,87895.70444793958,87894.73408410343,87884.06979838914,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 01:00:00,87721.8,87819.0,87721.7,87786.7,87717.12218488414,87916.99631539916,87917.15865656962,87899.05151371247,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 01:15:00,87786.7,88021.4,87786.6,88013.3,87745.32959584755,87977.35344316006,87978.1972730131,87951.64727301309,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 01:30:00,88013.3,88013.3,87833.6,87846.6,87754.97439624302,87971.99771226937,87973.50875506949,87950.26589792663,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 01:45:00,87846.6,87866.5,87797.9,87841.2,87763.1863585056,87953.78928256452,87956.24464626165,87941.86607483307,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 02:00:00,87841.2,87980.0,87841.2,87869.4,87773.30194340984,87977.96393347252,87980.94638445476,87956.61781302618,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 02:15:00,87869.4,87997.5,87869.4,87979.8,87792.96842498986,87999.51392666451,88002.92374700311,87984.93803271739,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 02:30:00,87980.0,88065.0,87904.2,87923.2,87805.37143213369,87996.55978764824,88000.33262649662,87972.73262649661,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
2026-01-01 02:45:00,87923.2,88029.2,87911.9,87912.0,87815.52653383525,87994.52885618238,87998.74468666366,87971.37325809224,134640.3057705941,134640.3057705941,134640.3057705941,0.0,0,-1,0,0,bearish,5,5,1,,lv3p0_g12_body25_tp20_lb5_none,100.0,0.0
