variant,entry_time,exit_time,avg_entry,exit_price,quantity,num_entries,pnl,return_pct,reason,hours_held,stage,gate,signal_time,max_entries_allowed,entry_family,exit_reason,realized_r,hold_minutes,size_path,threshold_pct
buy_hold,2022-01-01 00:00:00,2026-03-15 05:19:00,46246.66,71666.9,0.02161453389282599,1,548.4270203881533,54.84270203881534,Final Close,36797.333333333336,benchmark,none,2022-01-01 00:00:00,1,buy_hold,Final Close,54.84270203881534,2207840.0,1.00,
gap_12,2022-01-06 01:52:00,2022-01-07 04:32:00,42523.527500000004,41234.5,0.0554016620498615,4,-72.32804986149605,,,,benchmark,none,2022-01-06 01:52:00,4,gap_12,Stop Loss,-7.232804986149606,1600.0,benchmark,12.0
gap_12,2022-01-07 06:39:00,2022-01-07 08:26:00,41488.1,42580.0,0.013402343329754048,1,14.405749970166093,,,,benchmark,none,2022-01-07 06:39:00,4,gap_12,Take Profit,1.4405749970166093,107.0,benchmark,12.0
gap_12,2022-01-07 13:13:00,2022-01-07 16:58:00,41564.17,42070.45,0.0400976202390357,3,19.625853203664814,,,,benchmark,none,2022-01-07 13:13:00,4,gap_12,Take Profit,1.9625853203664814,225.0,benchmark,12.0
gap_12,2022-01-07 18:29:00,2022-01-08 01:02:00,41559.77,42132.47,0.02764475991494192,2,15.36625719617796,,,,benchmark,none,2022-01-07 18:29:00,4,gap_12,Take Profit,1.5366257196177961,393.0,benchmark,12.0
gap_12,2022-01-08 03:25:00,2022-01-08 10:00:00,41675.39,42184.24,0.01403387704970216,1,6.9043349617028715,,,,benchmark,none,2022-01-08 03:25:00,4,gap_12,Take Profit,0.6904334961702872,395.0,benchmark,12.0
gap_12,2022-01-08 10:48:00,2022-01-08 21:42:00,41291.69499999999,41935.68,0.05630703523756736,4,35.31637656287672,,,,benchmark,none,2022-01-08 10:48:00,4,gap_12,Take Profit,3.531637656287672,654.0,benchmark,12.0
gap_12,2022-01-08 22:50:00,2022-01-09 16:59:00,41622.31666666667,42127.99,0.043569722833263824,3,21.297845038376593,,,,benchmark,none,2022-01-08 22:50:00,4,gap_12,Take Profit,2.1297845038376595,1089.0,benchmark,12.0
gap_12,2022-01-09 18:57:00,2022-01-09 19:28:00,41954.25,42487.77,0.014821974614491824,1,7.655918836977084,,,,benchmark,none,2022-01-09 18:57:00,4,gap_12,Take Profit,0.7655918836977085,31.000000000000004,benchmark,12.0
gap_12,2022-01-09 22:51:00,2022-01-10 14:18:00,41729.725,40161.3,0.05933756292653966,4,-94.01974659944237,,,,benchmark,none,2022-01-09 22:51:00,4,gap_12,Stop Loss,-9.401974659944237,927.0,benchmark,12.0
