variant,start_ts,end_ts,start_eq,end_eq,cagr_2022plus_pct,mdd_2022plus_pct,calmar_2022plus
combo_base,2022-01-01,2026-03-15 05:30:00,8691.547191127389,213826.42612301745,114.35977733700331,63.97840034221949,1.7874747840723526
combo_posttrim_stage16_64,2022-01-01,2026-03-15 05:30:00,9006.694533375563,215110.97581849288,112.85313367719291,63.97840034221949,1.7639255291401976
combo_posttrim_stage16_96_strict,2022-01-01,2026-03-15 05:30:00,9006.694533375563,215110.97581849288,112.85313367719291,63.97840034221949,1.7639255291401976
combo_posttrim_confirm32_2p0,2022-01-01,2026-03-15 05:30:00,9321.841875623742,215532.7297982225,111.21595267657396,63.97840034221949,1.7383359396559077
combo_posttrim_same_regime_2p0,2022-01-01,2026-03-15 05:30:00,9321.841875623742,215532.7297982225,111.21595267657396,63.97840034221949,1.7383359396559077
combo_posttrim_wait32_2p0,2022-01-01,2026-03-15 05:30:00,8691.547191127389,193628.10089807663,109.35544438867785,64.70560169213857,1.6900460165563074
