case1_variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor,hedge_profit_applied_events,hedge_profit_applied_usd,campaign_count,campaign_residual_debt_sum,campaign_residual_credit_sum
baseline,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295,0,0.0,0,0.0,0.0
baseline_plus_hedge6x,25956.33983022203,2495.633983022203,120.75458582579,79.8348206447089,1.5125553593110388,610,544,66,91.80327868852459,2.202686829625046,0,0.0,0,0.0,0.0
baseline_plus_debtrelief_hedge6x,22630.04794320795,2163.0047943207946,113.51415761993762,74.06660092529866,1.5325957476356256,369,303,66,84.82384823848238,1.7005796289418837,16,36311.22034933273,303,19481.343357538142,79023.55230131328
