dimension,bucket,trades,win_rate_pct,avg_pnl,median_pnl,pnl_sum
RSI,0-10,14,100.0,156.8176704141576,115.33665478838634,2195.447385798206
RSI,10-15,188,100.0,213.53277494901155,117.36362844305268,40144.16169041417
RSI,15-18,396,99.74747474747475,136.3779313287675,118.51104145555786,54005.660806191925
ADX,0-20,83,100.0,199.97348527018184,117.93549980236236,16597.799277425092
ADX,20-30,181,99.4475138121547,107.13551536629448,119.55071824155723,19391.528281299303
ADX,30-40,164,100.0,194.8142194676861,125.88419475249594,31949.53199270052
ADX,40-60,143,100.0,175.9881164336113,109.36914532739922,25166.30065000642
ADX,60+,27,100.0,120.00406225825827,78.25461954221872,3240.1096809729734
EMA_Distance,0.25-0.5%,1,100.0,187.98878933805912,187.98878933805912,187.98878933805912
EMA_Distance,0.5-1.0%,3,100.0,208.34097802727342,121.07022452152812,625.0229340818203
EMA_Distance,1.0-2.0%,10,100.0,197.50498322275297,141.59692381945962,1975.0498322275298
EMA_Distance,2.0%+,584,99.82876712328768,160.20069918965223,117.86678922496287,93557.2083267569
