final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,variant,stage,gate,entry_family,zone_anchor,sweep_lookback,reclaim_window,confirm_mode,entry_scale,max_entries,add_trigger,add_profile,cooldown_bars,stop_mode,tp_mode,max_hold_bars,signal_count,trades,win_rate_pct,avg_entries,avg_hold_minutes,add_count,exposure_pct,benchmark_flag
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb12_rw1_proxy_bos_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,12.0,1.0,proxy_bos,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb12_rw2_close_above_prev3bar_high_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,12.0,2.0,close_above_prev3bar_high,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb12_rw2_proxy_bos_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,12.0,2.0,proxy_bos,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb12_rw3_close_above_prev3bar_high_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,12.0,3.0,close_above_prev3bar_high,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb12_rw3_proxy_bos_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,12.0,3.0,proxy_bos,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb24_rw1_close_above_prev3bar_high_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,24.0,1.0,close_above_prev3bar_high,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb24_rw1_proxy_bos_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,24.0,1.0,proxy_bos,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb24_rw2_close_above_prev3bar_high_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,24.0,2.0,close_above_prev3bar_high,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb24_rw2_proxy_bos_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,24.0,2.0,proxy_bos,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
1000.0,0.0,0.0,-0.0,,stage1_coarse_choch_ob_reclaim_red_floor_lb24_rw3_close_above_prev3bar_high_es0.45_me2_addavg_minus_0.5ATR_equal_cd2_stopsweep_low-0.2ATR_tppartial_1.5R_runner_to_bearish_ob_hold48_gatenone,stage1_coarse,none,choch_ob_reclaim,red_floor,24.0,3.0,close_above_prev3bar_high,0.45,2.0,avg_minus_0.5ATR,equal,2.0,sweep_low-0.2ATR,partial_1.5R_runner_to_bearish_ob,48.0,0.0,0.0,,,,0,0.0,
