variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_quality_bearish_ob,blocked_long_quality_delay,blocked_long_quality_cap,blocked_long_quality_cooldown,bulltrim_count,unlock_short_lock_count,slow_bear_short_entries,survived_to_end
unlock_slowbear_24h_2p0,338467.58511037746,33746.75851103775,206.7044008454698,69.93774215063515,2.95554867070573,15.141452721844217,47.759487999149144,171,67,104,30,91,49,0,8,12776,719,87,27623,4409,50,0,0,0,41,17,1
combo_trim2p0_unlock24h,213826.42612301745,21282.642612301745,180.76405308447337,63.97840034221949,2.825391884097902,19.1725148243272,44.95496589039673,238,134,104,34,154,49,0,8,12776,719,87,27622,4557,50,0,0,65,41,17,1
baseline_row6,167824.23752729833,16682.423752729832,167.97731613586654,64.58087249455677,2.601038196720315,-11.57638712131418,33.147253725078954,120,67,53,12,82,25,0,25,46778,719,53,18288,4409,50,0,0,0,0,0,1
bulltrim_once_2p0,106022.72863317172,10502.272863317172,145.31241549061855,58.30194409332003,2.4924111494125594,-8.480707273492783,29.558276554338804,187,134,53,16,145,25,0,25,46778,719,53,18287,4557,50,0,0,65,0,0,1
bulltrim_once_1p5,76723.67011230429,7572.367011230429,130.51060142141924,57.48673775827194,2.270273223194678,-6.716579400483591,27.662415316519017,187,134,53,16,145,25,0,25,46778,719,53,18287,4557,50,0,0,65,0,0,1
unlock_slowbear_36h_2p0,82211.04934451738,8121.104934451738,133.59500253844465,64.58087249455677,2.068646603523431,-29.07585038440822,47.478452292810694,153,67,86,30,84,38,0,15,21051,719,76,24283,4409,50,0,0,0,23,10,1
