episode_id,start,end,bars,duration_hours,duration_days,max_drawdown_pct,avg_drawdown_pct,max_ema_below_pct,avg_ema_below_pct
1,2022-03-04 14:48:00,2022-03-04 14:54:00,7,0.1,0.004166666666666667,20.6908493208951,20.372778478713098,0.5311023560821532,0.4134703993565347
2,2022-03-04 14:56:00,2022-03-04 14:56:00,1,0.0,0.0,20.02276825903331,20.02276825903331,0.28402632101081443,0.28402632101081443
3,2022-03-04 15:11:00,2022-03-04 15:11:00,1,0.0,0.0,20.035997586990977,20.035997586990977,0.28891891576470236,0.28891891576470236
4,2022-03-04 15:16:00,2022-03-04 15:22:00,7,0.1,0.004166666666666667,21.20083991366287,20.623852224309537,0.7197118838445279,0.506324858364249
5,2022-03-04 15:25:00,2022-03-04 15:25:00,1,0.0,0.0,20.084284634036447,20.084284634036447,0.3067768866164003,0.3067768866164003
6,2022-03-04 15:31:00,2022-03-04 15:31:00,1,0.0,0.0,20.098836894789844,20.098836894789844,0.31215874084566986,0.31215874084566986
7,2022-03-04 15:42:00,2022-03-04 15:52:00,11,0.16666666666666666,0.006944444444444444,20.53143591900533,20.32770426845736,0.47214658929780756,0.3968006300879301
8,2022-03-04 15:54:00,2022-03-04 16:38:00,45,0.7333333333333333,0.030555555555555555,21.87619710590136,20.861772238108067,0.9650552185074969,0.5904676395572694
9,2022-03-04 16:42:00,2022-03-04 16:42:00,1,0.0,0.0,20.090899298015277,20.090899298015277,0.3047700632889975,0.3047700632889975
10,2022-03-04 16:51:00,2022-03-04 17:03:00,13,0.2,0.008333333333333333,20.386574777868944,20.137812530234346,0.41412444060750664,0.3221207320013756
11,2022-03-04 17:43:00,2022-03-04 17:48:00,6,0.08333333333333333,0.003472222222222222,20.420971030558842,20.228925286373492,0.4268457551948885,0.3558184154153045
12,2022-03-04 18:17:00,2022-03-04 18:18:00,2,0.016666666666666666,0.0006944444444444445,20.15241567301836,20.10412862597291,0.3275216451472016,0.30966287659183045
13,2022-03-04 18:24:00,2022-03-04 18:25:00,2,0.016666666666666666,0.0006944444444444445,20.173582597750645,20.09189149761209,0.3353501464317593,0.3051370242867053
14,2022-03-04 18:30:00,2022-03-04 18:30:00,1,0.0,0.0,20.01549212865661,20.01549212865661,0.2768810274627951,0.2768810274627951
15,2022-03-04 18:41:00,2022-03-09 15:44:00,7024,117.05,4.877083333333333,27.75227061530709,26.973904923293766,8.340554196668055,4.057389565560623
16,2022-03-09 15:51:00,2022-03-09 15:57:00,7,0.1,0.004166666666666667,21.00465189050297,20.42208898436747,0.0,0.0
17,2022-03-09 16:04:00,2022-03-09 16:04:00,1,0.0,0.0,20.103073190188482,20.103073190188482,0.0,0.0
18,2022-03-09 16:08:00,2022-03-09 16:18:00,11,0.16666666666666666,0.006944444444444444,21.003328957707186,20.58492139439177,0.0,0.0
19,2022-03-09 16:20:00,2022-03-09 16:33:00,14,0.21666666666666667,0.009027777777777779,20.887572338077653,20.360383618964956,0.0,0.0
20,2022-03-09 16:36:00,2022-03-24 14:45:00,21490,358.15,14.922916666666666,49.22850021025072,36.59217545933831,6.53114783665978,1.293438405998692
21,2022-03-25 16:45:00,2022-03-25 16:45:00,1,0.0,0.0,20.072381673668627,20.072381673668627,0.0,0.0
22,2022-03-25 16:57:00,2022-03-25 16:57:00,1,0.0,0.0,20.049921698868438,20.049921698868438,0.0,0.0
23,2022-03-25 16:59:00,2022-03-25 16:59:00,1,0.0,0.0,20.063918494758408,20.063918494758408,0.0,0.0
24,2022-03-25 17:08:00,2022-03-25 17:12:00,5,0.06666666666666667,0.002777777777777778,20.291447804690847,20.187611109600077,0.0,0.0
25,2022-03-25 17:14:00,2022-03-25 17:14:00,1,0.0,0.0,20.06717356357003,20.06717356357003,0.0,0.0
26,2022-03-26 00:59:00,2022-03-26 01:01:00,3,0.03333333333333333,0.001388888888888889,20.385193786465596,20.189347146299614,0.0,0.0
27,2022-03-26 01:11:00,2022-03-26 01:13:00,3,0.03333333333333333,0.001388888888888889,20.09777121039928,20.06066342594678,0.0,0.0
28,2022-03-26 01:27:00,2022-03-26 01:33:00,7,0.1,0.004166666666666667,20.095492662231145,20.061267938726086,0.0,0.0
29,2022-03-26 14:47:00,2022-03-26 14:48:00,2,0.016666666666666666,0.0006944444444444445,20.03690142362193,20.025345929340673,0.0,0.0
30,2022-03-26 16:08:00,2022-03-26 16:08:00,1,0.0,0.0,20.003374214862205,20.003374214862205,0.0,0.0
31,2022-03-26 16:15:00,2022-03-26 16:16:00,2,0.016666666666666666,0.0006944444444444445,20.066848056688855,20.05431604176411,0.0,0.0
32,2022-03-31 16:07:00,2022-03-31 16:08:00,2,0.016666666666666666,0.0006944444444444445,20.161259538720707,20.156359069156778,0.0,0.0
33,2022-03-31 16:20:00,2022-04-01 14:59:00,1360,22.65,0.94375,30.201034136746944,24.86403670955798,0.0,0.0
34,2022-04-06 14:04:00,2022-04-06 14:05:00,2,0.016666666666666666,0.0006944444444444445,20.336336018264856,20.222042847800026,0.0,0.0
35,2022-04-06 14:07:00,2022-04-06 14:07:00,1,0.0,0.0,20.05017978406404,20.05017978406404,0.0,0.0
36,2022-04-06 15:18:00,2022-04-06 15:20:00,3,0.03333333333333333,0.001388888888888889,20.461635197737422,20.36211077440261,0.0,0.0
37,2022-04-06 15:27:00,2022-04-06 15:33:00,7,0.1,0.004166666666666667,21.13102630969439,20.42373904950569,0.0,0.0
38,2022-04-06 16:21:00,2022-04-06 16:22:00,2,0.016666666666666666,0.0006944444444444445,20.310373125220995,20.268042321345128,0.0,0.0
