variant,mode,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,trail_exits,signal_exits,time_exits
reference_case1,reference,20072.7821300702,1907.2782130070202,107.29130916120972,61.04205953455899,1.7576620117226993,,,,,,,
reference_case2,reference,16969.923938388678,1596.9923938388679,99.00180359816797,74.0773722007741,1.336464842865112,,,,,,,
compression_breakout_dual,live,1834.9175167172955,83.49175167172956,15.895993968631172,23.540762705203345,0.6752539910322274,450.0,267.0,183.0,243.0,202.0,5.0,0.0
breakout_long_96,live,1600.9553820623626,60.095538206236256,12.11703347473021,28.59580383652248,0.42373466904449697,451.0,451.0,0.0,245.0,203.0,3.0,0.0
pullback_reclaim_dual,live,652.8096296806506,-34.71903703193494,-9.845712645869087,58.48369608102125,-0.16834969924317342,1791.0,812.0,979.0,1007.0,740.0,44.0,0.0
turtle_dual_144_48,live,356.9982143809395,-64.30017856190605,-22.1458886217749,71.88599461977081,-0.3080695862791069,1316.0,669.0,647.0,66.0,0.0,1250.0,0.0
hard_stop_meanrev_dual,live,233.3838566927851,-76.66161433072149,-29.78689389439323,78.18273344376304,-0.3809906942665159,1614.0,861.0,753.0,346.0,0.0,225.0,1043.0
