strategy,period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_amount,calmar_ratio,annual_volatility_pct,sharpe_365,sortino_365,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,profit_factor,avg_pnl_per_trade,avg_holding_hours,worst_month,max_dd_peak_time,max_dd_trough_time,max_dd_recovery_time,max_dd_peak_to_trough_days,max_dd_recovery_days,gross_profit,gross_loss,net_pnl_sum,median_pnl_per_trade,avg_return_pct_per_trade,median_return_pct_per_trade,median_holding_hours,max_consecutive_wins,max_consecutive_losses,best_trade_pnl,worst_trade_pnl,best_trade_reason,worst_trade_reason
02_baseline,2022-01-01 03:20:00,2026-02-12,14968.827497361495,1396.8827497361494,93.09773919094214,64.03312645018887,7816.623200066735,1.4538996352671067,90.61832983547485,1.196257325594268,1.438283298011285,1403,703,700,99.64362081254454,99.85775248933145,99.42857142857143,4087.695360639292,82.4335941980375,18.6856022808268,2022-03 (-31.8251%),2022-01-24 15:10:00,2022-04-21 13:34:00,2022-09-06 13:55:00,86.93333333333334,224.94791666666666,115682.6328688061,-28.300208959484202,115654.33265984661,47.03760703874898,8.24335941980375,4.703760703874898,7.55,547,1,508.4487734028895,-9.939892564438994,Take Profit,Reverse
04_long_only_with_trend_short_hedge_5x,2022-01-01 03:20:00,2026-02-12,20964.07933359375,1996.4079333593747,109.5805077152641,72.05975616858642,21830.465098231536,1.5206894047614667,79.03304171219335,1.3262156621139287,1.7654213647906605,764,635,129,85.86387434554975,99.84251968503936,17.05426356589147,2.664787391282256,134.6632350656679,57.61457242582897,2024-12 (-41.5992%),2024-12-17 18:08:00,2025-04-17 14:38:00,,120.85416666666667,,164682.021297176,-61799.30970700573,102882.71159017028,105.16067105298728,13.46632350656679,10.516067105298728,9.75,88,7,14238.883062080928,-14684.087855863077,Final Hedge Close,Final Close
08_best_hysteresis_fixed5x,2022-01-01 03:20:00,2026-02-12,39367.8799229618,3836.7879922961806,144.28673432879214,67.81498388466949,29357.24615390256,2.1276527112971877,77.59269675311916,1.5349657978482565,2.0064516359065085,701,635,66,92.86733238231099,99.84251968503936,25.757575757575758,2.93195627654288,208.75559184965044,62.655539705183074,2024-12 (-39.2188%),2024-12-17 18:08:00,2025-04-16 17:59:00,2025-11-18 03:34:00,119.99375,335.3930555555556,222083.51965731898,-75745.84977071399,146337.66988660497,134.6751583362386,20.875559184965045,13.46751583362386,10.283333333333333,90,5,26738.814984679033,-27574.8530755413,Final Hedge Close,Final Close
