variant,mode,min_bear_run_4h,min_entry_count,stress_gap_pct,risk_score_min,dd30_threshold_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,blocked_dca_signals,blocked_reentry_signals,brake_active_bars,brake_active_bars_in_position,reentry_events,stop_loss_events,hedge_open_events,hedge_close_events
baseline_m4,none,0,99,0.0,0,-999.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,0,0,0,0,36,96,66,66
bear4_entry3_gap0,bear_run,4,3,0.0,0,-999.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,258,456122,456380,456380,12,100,66,66
bear6_entry3_gap1,bear_run,6,3,0.01,0,-999.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,258,443069,443327,443327,12,100,66,66
risk4_entry2_gap0,risk,0,2,0.0,4,-6.0,16295.120516390529,97.12560046433,65.95570052484605,1.4725884145183479,33265.04445477921,1563.2522227389604,98.03287908266294,50.329741531786375,1.947812090804183,125,164096,164221,164221,11,100,66,66
risk4_entry3_gap1,risk,0,3,0.01,4,-6.0,16295.120516390529,97.12560046433,65.95570052484605,1.4725884145183479,33265.04445477921,1563.2522227389604,98.03287908266294,50.329741531786375,1.947812090804183,125,158500,158625,158625,11,100,66,66
bear2_entry2_gap0,bear_run,2,2,0.0,0,-999.0,15871.082319004545,95.8657120069129,65.95570052484611,1.4534863740974053,32841.00625739322,1542.0503128696612,97.41638130185986,50.329741531786375,1.9355629164186214,258,499234,499492,499492,11,100,66,66
bear4_entry2_gap0,bear_run,4,2,0.0,0,-999.0,15871.082319004545,95.8657120069129,65.95570052484611,1.4534863740974053,32841.00625739322,1542.0503128696612,97.41638130185986,50.329741531786375,1.9355629164186214,258,457449,457707,457707,11,100,66,66
bear6_entry2_gap0,bear_run,6,2,0.0,0,-999.0,15871.082319004545,95.8657120069129,65.95570052484611,1.4534863740974053,32841.00625739322,1542.0503128696612,97.41638130185986,50.329741531786375,1.9355629164186214,258,444396,444654,444654,11,100,66,66
