variant,year,start_ts,end_ts,start_eq,end_eq,return_pct
combo_base,2021,2021-01-02,2021-12-31 23:45:00,1000.0,8691.547191127389,769.1547191127389
combo_base,2022,2022-01-01,2022-12-31 23:45:00,8691.547191127389,11884.884019400057,36.740717826769995
combo_base,2023,2023-01-01,2023-12-31 23:45:00,11896.863235869898,22536.08504172252,89.42879812028606
combo_base,2024,2024-01-01,2024-12-31 23:45:00,22595.76635703034,69453.16773549955,207.3724813670248
combo_base,2025,2025-01-01,2025-12-31 23:45:00,69224.41764597133,179319.7957972177,159.0412485870202
combo_base,2026,2026-01-01,2026-03-15 05:30:00,179425.95777073267,213826.42612301745,19.1725148243272
combo_posttrim_confirm32_2p0,2021,2021-01-02,2021-12-31 23:45:00,1000.0,9321.841875623742,832.1841875623743
combo_posttrim_confirm32_2p0,2022,2022-01-01,2022-12-31 23:45:00,9321.841875623742,12746.753495404344,36.74071782676997
combo_posttrim_confirm32_2p0,2023,2023-01-01,2023-12-31 23:45:00,12759.601422162394,22715.91971149953,78.03001018545781
combo_posttrim_confirm32_2p0,2024,2024-01-01,2024-12-31 23:45:00,22776.07727499378,70007.39387821936,207.37248136702453
combo_posttrim_confirm32_2p0,2025,2025-01-01,2025-12-31 23:45:00,69776.81839635989,180750.74159822823,159.04124858702016
combo_posttrim_confirm32_2p0,2026,2026-01-01,2026-03-15 05:30:00,180857.75072879888,215532.7297982225,19.17251482432716
combo_posttrim_same_regime_2p0,2021,2021-01-02,2021-12-31 23:45:00,1000.0,9321.841875623742,832.1841875623743
combo_posttrim_same_regime_2p0,2022,2022-01-01,2022-12-31 23:45:00,9321.841875623742,12746.753495404344,36.74071782676997
combo_posttrim_same_regime_2p0,2023,2023-01-01,2023-12-31 23:45:00,12759.601422162394,22715.91971149953,78.03001018545781
combo_posttrim_same_regime_2p0,2024,2024-01-01,2024-12-31 23:45:00,22776.07727499378,70007.39387821936,207.37248136702453
combo_posttrim_same_regime_2p0,2025,2025-01-01,2025-12-31 23:45:00,69776.81839635989,180750.74159822823,159.04124858702016
combo_posttrim_same_regime_2p0,2026,2026-01-01,2026-03-15 05:30:00,180857.75072879888,215532.7297982225,19.17251482432716
combo_posttrim_stage16_64,2021,2021-01-02,2021-12-31 23:45:00,1000.0,9006.694533375563,800.6694533375563
combo_posttrim_stage16_64,2022,2022-01-01,2022-12-31 23:45:00,9006.694533375563,12315.818757402189,36.74071782676991
combo_posttrim_stage16_64,2023,2023-01-01,2023-12-31 23:45:00,12328.232329016131,22671.46924891544,83.89878324693095
combo_posttrim_stage16_64,2024,2024-01-01,2024-12-31 23:45:00,22731.50909621949,69870.4035612208,207.37248136702476
combo_posttrim_stage16_64,2025,2025-01-01,2025-12-31 23:45:00,69640.27926896577,180397.0489378166,159.04124858702008
combo_posttrim_stage16_64,2026,2026-01-01,2026-03-15 05:30:00,180503.84867315184,215110.97581849288,19.172514824327138
combo_posttrim_stage16_96_strict,2021,2021-01-02,2021-12-31 23:45:00,1000.0,9006.694533375563,800.6694533375563
combo_posttrim_stage16_96_strict,2022,2022-01-01,2022-12-31 23:45:00,9006.694533375563,12315.818757402189,36.74071782676991
combo_posttrim_stage16_96_strict,2023,2023-01-01,2023-12-31 23:45:00,12328.232329016131,22671.46924891544,83.89878324693095
combo_posttrim_stage16_96_strict,2024,2024-01-01,2024-12-31 23:45:00,22731.50909621949,69870.4035612208,207.37248136702476
combo_posttrim_stage16_96_strict,2025,2025-01-01,2025-12-31 23:45:00,69640.27926896577,180397.0489378166,159.04124858702008
combo_posttrim_stage16_96_strict,2026,2026-01-01,2026-03-15 05:30:00,180503.84867315184,215110.97581849288,19.172514824327138
combo_posttrim_wait32_2p0,2021,2021-01-02,2021-12-31 23:45:00,1000.0,8691.547191127389,769.1547191127389
combo_posttrim_wait32_2p0,2022,2022-01-01,2022-12-31 23:45:00,8691.547191127389,11884.884019400057,36.740717826769995
combo_posttrim_wait32_2p0,2023,2023-01-01,2023-12-31 23:45:00,11896.863235869898,20407.29683147692,71.53510490015094
combo_posttrim_wait32_2p0,2024,2024-01-01,2024-12-31 23:45:00,20461.34057130684,62892.53023498352,207.3724813670244
combo_posttrim_wait32_2p0,2025,2025-01-01,2025-12-31 23:45:00,62685.38817953837,162381.0122218966,159.04124858702028
combo_posttrim_wait32_2p0,2026,2026-01-01,2026-03-15 05:30:00,162477.14599587396,193628.10089807663,19.1725148243272
