variant,mode,flush_drop_pct,reclaim_pct,setup_wait_bars,pilot_entry_scale,pyramid_step_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events,setup_created,setup_flushed,setup_filled,setup_cancelled,pyramid_add_events,hard_stop_events,lower_reentry_blocked
baseline_m4,baseline,0.0,0.0,0,0.6,0.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,0,66,66,0,0,0,0,0,0,0,0
flush1p00_reclaim0p25_p15_step0p75,structural,0.01,0.0025,240,0.15,0.0075,1388.2899274612328,8.304805082463984,27.209692403478474,0.3052149564690522,18358.21386584991,817.9106932924955,71.39398624196618,52.44212280454465,1.3613862754575439,0,66,66,0,1882,330,312,1570,460,115,13150
flush0p75_reclaim0p25_p20_step0p75,structural,0.0075,0.0025,240,0.2,0.0075,1448.0858242655272,9.421150678919288,39.01741800775149,0.24146012627098012,18418.009762654205,820.9004881327102,71.5294968258241,52.626805117383846,1.359183721418731,0,66,66,0,1487,400,375,1112,548,144,17385
flush0p75_reclaim0p25_p15_step0p75,structural,0.0075,0.0025,240,0.15,0.0075,1346.164374010252,7.496302818736522,30.660814950933556,0.2444913101864005,18316.08831239893,815.8044156199464,71.29831978887884,52.53569310493824,1.3571405567346928,0,66,66,0,1487,400,375,1112,548,144,17385
flush1p00_reclaim0p50_p15_step1p00,structural,0.01,0.005,360,0.15,0.01,1301.4057068207414,6.616003160073269,30.265149897429872,0.2186013676619888,18271.32964520942,813.566482260471,71.19649091012334,52.66299008724764,1.3519264818076404,0,66,66,0,1490,345,294,1196,232,100,12154
