variant,entry_time,exit_time,avg_entry,exit_price,quantity,num_entries,pnl,return_pct,reason,hours_held,threshold_pct
buy_hold,2022-01-01 00:00:00,2026-03-15 05:19:00,46246.66,71666.9,0.02161453389282599,1,548.4270203881533,54.84270203881534,Final Close,36797.333333333336,
gap_10,2022-01-06 01:52:00,2022-01-07 04:32:00,42523.527500000004,41234.5,0.0554016620498615,4,-72.32804986149605,-7.232804986149606,Stop Loss,26.666666666666668,10.0
gap_10,2022-01-07 06:39:00,2022-01-07 08:26:00,41488.1,42580.0,0.013402343329754048,1,14.405749970166093,1.4405749970166093,Take Profit,1.7833333333333334,10.0
gap_10,2022-01-07 13:13:00,2022-01-07 16:58:00,41564.17,42070.45,0.0400976202390357,3,19.625853203664814,1.9625853203664814,Take Profit,3.75,10.0
gap_10,2022-01-07 18:29:00,2022-01-08 01:02:00,41559.77,42132.47,0.02764475991494192,2,15.36625719617796,1.5366257196177961,Take Profit,6.55,10.0
gap_10,2022-01-08 03:25:00,2022-01-08 10:00:00,41675.39,42184.24,0.01403387704970216,1,6.9043349617028715,0.6904334961702872,Take Profit,6.583333333333333,10.0
gap_10,2022-01-08 10:48:00,2022-01-08 21:42:00,41291.69499999999,41935.68,0.05630703523756736,4,35.31637656287672,3.531637656287672,Take Profit,10.9,10.0
gap_10,2022-01-08 22:50:00,2022-01-09 16:59:00,41622.31666666667,42127.99,0.043569722833263824,3,21.297845038376593,2.1297845038376595,Take Profit,18.15,10.0
gap_10,2022-01-09 18:57:00,2022-01-09 19:28:00,41954.25,42487.77,0.014821974614491824,1,7.655918836977084,0.7655918836977085,Take Profit,0.5166666666666667,10.0
gap_10,2022-01-09 22:33:00,2022-01-10 14:16:00,41779.9675,40523.63,0.05918431272060933,4,-75.31481675882632,-7.531481675882633,Stop Loss,15.716666666666667,10.0
gap_10,2022-01-10 14:21:00,2022-01-10 14:41:00,39864.41,40358.25,0.014562031508285882,1,6.956234396804137,0.6956234396804137,Take Profit,0.3333333333333333,10.0
gap_10,2022-01-10 17:26:00,2022-01-10 18:31:00,41100.01,41654.89,0.01422241049300558,1,7.654757956510502,0.7654757956510502,Take Profit,1.0833333333333333,10.0
gap_10,2022-01-10 19:51:00,2022-01-10 21:01:00,41264.41,41788.51,0.014273650789367974,1,7.24223053920853,0.7242230539208531,Take Profit,1.1666666666666667,10.0
gap_10,2022-01-10 22:19:00,2022-01-11 02:24:00,41593.42,42093.07,0.01426181733038592,1,6.885787559041286,0.6885787559041285,Take Profit,4.083333333333333,10.0
gap_10,2022-01-11 04:49:00,2022-01-11 16:17:00,41841.43333333332,42419.26,0.04251972632078896,3,23.847569597148922,2.3847569597148923,Take Profit,11.466666666666667,10.0
gap_10,2022-01-11 17:23:00,2022-01-11 19:53:00,42499.99,43032.49,0.014378083955011781,1,7.408839804438491,0.7408839804438491,Take Profit,2.5,10.0
gap_10,2022-01-12 02:46:00,2022-01-12 11:39:00,42478.91,43135.0,0.01448641388792675,1,9.254442702507522,0.925444270250752,Take Profit,8.883333333333333,10.0
gap_10,2022-01-14 10:55:00,2022-01-14 14:46:00,42041.57,42614.88,0.014765672387883485,1,8.213612693925858,0.8213612693925858,Take Profit,3.85,10.0
gap_10,2022-01-21 01:09:00,2022-01-21 03:30:00,39866.3375,38632.78,0.061544727976310526,4,-76.8700183550653,-7.687001835506529,Stop Loss,2.35,10.0
gap_10,2022-01-21 03:35:00,2022-01-21 03:46:00,38307.9,38794.36,0.01511020874306639,1,7.116035794090597,0.7116035794090597,Take Profit,0.18333333333333332,10.0
gap_10,2022-01-21 06:34:00,2022-01-21 07:50:00,38597.34,39096.12,0.015103918179264304,1,7.297330470410863,0.7297330470410862,Take Profit,1.2666666666666666,10.0
gap_10,2022-01-21 09:07:00,2022-01-21 21:47:00,38367.975000000006,36720.09,0.060286350427584706,4,-100.23046065974997,-10.023046065974997,Stop Loss,12.666666666666666,10.0
gap_10,2022-01-21 22:49:00,2022-01-21 22:55:00,35671.31,36123.11,0.014760213137205202,1,6.4553903742778695,0.645539037427787,Take Profit,0.1,10.0
gap_10,2022-01-21 23:43:00,2022-01-22 09:48:00,35878.11750000001,34778.59,0.05835387871380862,4,-64.97348062657676,-6.497348062657676,Stop Loss,10.083333333333334,10.0
gap_10,2022-01-22 10:10:00,2022-01-22 10:21:00,34200.54,34636.27,0.014349962015295838,1,6.053897285384185,0.6053897285384185,Take Profit,0.18333333333333332,10.0
gap_10,2022-01-22 11:48:00,2022-01-22 11:56:00,34813.55,35465.98,0.014198236086979343,1,9.061933427389501,0.9061933427389501,Take Profit,0.13333333333333333,10.0
gap_10,2022-01-22 14:55:00,2022-01-22 16:12:00,34834.735,35322.27,0.02843133727691095,2,13.459568270596227,1.3459568270596227,Take Profit,1.2833333333333334,10.0
gap_10,2022-01-22 16:50:00,2022-01-22 20:12:00,34613.52,35246.27,0.029080948667553924,2,17.990972281957646,1.7990972281957647,Take Profit,3.3666666666666667,10.0
gap_10,2022-01-22 20:45:00,2022-01-22 20:56:00,34755.0,35383.03,0.014904346953526947,1,9.14943263506869,0.9149432635068689,Take Profit,0.18333333333333332,10.0
