curve,initial_capital,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor
total_case1_plus_case2,2000.0,45573.19532455645,2178.6597662278227,113.77926304686437,64.73926177164876,1.7575001619294288,1989,1235,754,,
case1_study40_longonly_hedge_hyst05_adx002_scale06,1000.0,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295
case2_dual_nohedge_nohyst_adx002_scale06_prevtouch_maxentries4,1000.0,16957.767743076576,1595.7767743076577,99.04564077331442,74.0773722007741,1.3370566183809556,1379,691,688,99.63741841914431,10373.625471124225
