variant,mode,trigger_dd_pct,restore_dd_pct,reduced_weight,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio
shallow6_no_overlay,source_shallow6,0.0,0.0,1.0,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727
release1bull_baseline,baseline_release1,0.0,0.0,1.0,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227
dd15_to75_restore10,overlay,15.0,10.0,0.75,28262.338873153632,1313.1169436576815,90.342242139627,48.782935349574984,1.8519230442416192
dd25_to50_restore15,overlay,25.0,15.0,0.5,24614.227845219168,1130.7113922609585,84.0550240250141,51.172940575654444,1.6425677922640884
dd30_to25_restore20,overlay,30.0,20.0,0.25,22407.08925589563,1020.3544627947815,79.90018192627682,49.36139770900725,1.6186774612279058
dd20_to50_restore12,overlay,20.0,12.0,0.5,22360.427184752996,1018.0213592376498,79.80905973989732,51.7952133097326,1.5408578252712932
