variant,retain_fraction,stress_gap_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,hedge_open_events,hedge_close_events,hedge_reduce_events,hedge_topup_events,bullish_hold_events,trend_up_partial_trades,trend_up_partial_net_pnl,trend_up_loss_rate
baseline_close_all,0.0,0.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,66,66,0,0,0,0,0.0,0.7538461538461538
hold10_gap5pct,0.1,0.05,17134.43852121327,99.54794156906397,63.322263290590875,1.5720843885859004,34104.36245960195,1605.2181229800976,99.23580996466528,50.3534454973604,1.9707848983217517,49,49,34,17,34,34,1842.1352423779745,0.7682926829268293
hold10_gap3pct,0.1,0.03,16584.629803686017,97.97159740194206,63.139472590264035,1.5516695560274456,33554.5537420747,1577.7276871037348,98.45037999624498,50.256183920638044,1.9589704652409086,43,43,43,23,43,43,676.1077225937361,0.7647058823529411
hold15_gap5pct,0.15,0.05,16372.770246999416,97.35361579443892,62.566053186037315,1.5560133784524073,33342.69418538809,1567.1347092694045,98.14512671489719,50.36079857563085,1.9488397620920324,49,49,34,17,34,34,2213.9041372902193,0.7560975609756098
hold20_gap5pct,0.2,0.05,15635.68947801736,95.15528850430002,61.82500080717984,1.5391069512650855,32605.61341640604,1530.2806708203018,97.07154507347757,50.54029982791508,1.9206760823342355,49,49,34,17,34,34,2544.7920623200107,0.7560975609756098
hold25_gap3pct,0.25,0.03,13746.977126958323,89.14044642996552,60.603518021323055,1.470879073366696,30716.901065347003,1435.84505326735,94.23417184725436,50.908034216285536,1.8510667971757735,43,43,43,23,43,43,1853.9523342192851,0.7294117647058823
hold25_gap1pct,0.25,0.01,13519.685743664862,88.37517470615136,59.64299295461514,1.481736082114453,30489.60968205354,1424.4804841026769,93.88388610874539,51.45089446698907,1.8247279679264148,34,34,52,32,52,52,-1324.3042797787102,0.7411764705882353
hold25_gap2pct,0.25,0.02,12754.921466720503,85.72657198260329,60.9565510018338,1.4063553559653386,29724.845405109183,1386.242270255459,92.69057593076741,51.13238260169866,1.8127568326473438,41,41,45,25,45,45,945.8665668589983,0.7294117647058823
hold50_gap3pct,0.5,0.03,9909.930625394894,74.67076979843321,56.826719092433066,1.3140081108144817,26879.85456378357,1243.9927281891785,88.03624042866912,51.96537929831449,1.6941325478119738,43,43,43,23,43,43,2796.4139447723082,0.6823529411764706
