timestamp,event,amount,active_after,vault_after,total_after
2021-01-04 05:30:00,withdraw,2000.0,2177.4712044198877,2000.0,4177.471204419888
2021-02-02 21:00:00,withdraw,2000.0,2021.2153762612243,4000.0,6021.215376261224
2021-05-03 17:15:00,withdraw,2000.0,2011.7874585324762,6000.0,8011.787458532476
2021-08-06 17:30:00,withdraw,2000.0,2020.7541343467774,8000.0,10020.754134346778
2021-10-21 09:45:00,withdraw,2000.0,2027.6244194838073,10000.0,12027.624419483807
2021-12-09 15:30:00,deposit,1019.9076802839471,2000.0,8980.092319716054,10980.092319716054
2022-07-22 09:15:00,withdraw,2000.0,2045.2086199594523,10980.092319716054,13025.300939675506
2022-11-02 19:30:00,deposit,1013.928024944677,2000.0,9966.164294771377,11966.164294771377
2023-12-02 18:45:00,withdraw,2000.0,2024.170659797806,11966.164294771377,13990.334954569184
2024-03-06 11:30:00,withdraw,2000.0,2013.3325903696523,13966.164294771377,15979.49688514103
2024-03-24 23:00:00,deposit,1000.6615434183431,2000.0,12965.502751353035,14965.502751353035
2024-05-10 07:00:00,deposit,1000.8215274808671,2000.0,11964.681223872169,13964.681223872169
2024-10-23 16:15:00,deposit,1007.8029616277532,2000.0,10956.878262244416,12956.878262244416
2025-05-08 10:30:00,withdraw,2000.0,2030.4113525219577,12956.878262244416,14987.289614766374
2025-05-13 19:15:00,withdraw,2000.0,2006.7106622778606,14956.878262244416,16963.588924522275
2025-07-04 08:00:00,deposit,1008.0576706694262,2000.0,13948.82059157499,15948.82059157499
2025-07-16 19:45:00,withdraw,2000.0,2002.8462890356577,15948.82059157499,17951.666880610646
2025-10-03 16:45:00,withdraw,2000.0,2003.8150190911138,17948.82059157499,19952.635610666104
2026-01-08 09:30:00,deposit,1000.6751241844627,2000.0,16948.14546739053,18948.14546739053
2026-04-08 13:45:00,deposit,1002.6333656525469,2000.0,15945.51210173798,17945.51210173798
