window,count,mean_corr,median_corr,std_corr,p10_corr,p90_corr,min_corr,max_corr,neg_corr_share
30,1289998,0.8781360083776613,0.9999998365342824,0.3862143342869719,0.6760953150263121,1.0,-0.9999999992173941,1.0,0.02790159364588162
60,1566339,0.730818945434365,0.9999991446349825,0.47663791123379967,-1.1339463073962411e-07,0.9999999999999114,-0.9999999875907227,1.0,0.19401994076633475
120,1505744,0.7699004903311721,0.9999983670706237,0.4489689145284902,0.0,0.9999999999999615,-0.9999999149608565,1.0,0.06509738707243728
