timestamp,open,high,low,close,ema200,ema_gap_pct,rsi6_raw,rsi6_confirmed,rsi50_abs_dev,adx14_raw,adx14_confirmed,ema_rsi_mix_feature,ema_rsi_adx_mix_feature,next_ret_4h_pct
2021-07-01 00:00:00,35031.39,35044.98,34120.0,34120.06,,,50.0,,,,,,,-2.2933136694366807
2021-07-01 04:00:00,34120.06,34449.0,33264.8,33337.58,34120.06,-2.293313669436677,50.0,50.0,0.0,,,-0.0,,1.0778526815683698
2021-07-01 08:00:00,33338.99,33746.06,32968.0,33696.91,34112.27412935324,-1.217638342662761,50.0,50.0,0.0,,,-0.0,,-0.8284735900116802
2021-07-01 12:00:00,33696.91,33844.0,33050.0,33417.74,34108.14115294176,-2.0241535586650294,50.0,50.0,0.0,,,-0.0,,-1.0340316251188586
2021-07-01 16:00:00,33417.74,33639.21,32672.04,33072.19,34101.27148972841,-3.0177217586692486,50.0,50.0,0.0,,,-0.0,,1.2632063374091507
2021-07-01 20:00:00,33072.19,33639.5,33070.35,33489.96,34091.03187291519,-1.7631378104243736,50.0,50.0,0.0,,,-0.0,,-1.7716652990926285
2021-07-02 00:00:00,33489.96,33960.0,32750.0,32896.63,34085.05105825932,-3.486634232197666,15.322427747888355,50.0,0.0,,,-0.0,,1.3482840035590193
2021-07-02 04:00:00,32896.62,33498.18,32684.0,33340.17,34073.22597310251,-2.1514134695704756,26.775050679456882,15.322427747888355,34.677572252111645,,,-74.60579603519636,,-0.9964256331026489
2021-07-02 08:00:00,33340.18,33600.0,32751.0,33007.96,34065.93188381791,-3.105659599819934,23.87300163947502,26.775050679456882,23.224949320543118,,,-72.12878681267618,,2.0507780547480037
2021-07-02 12:00:00,33008.71,33700.0,32850.0,33684.88,34055.404800396835,-1.0880058615322044,39.821555052220724,23.87300163947502,26.12699836052498,,,-28.42632736049347,,-1.1415804360888404
2021-07-02 16:00:00,33686.5,33788.0,33100.0,33300.34,34051.717986462536,-2.2065787892442144,34.845203849303715,39.821555052220724,10.178444947779276,,,-22.459540729259686,,1.3831690607363445
2021-07-02 20:00:00,33300.34,33880.0,33012.0,33760.94,34044.24158858728,-0.8321571442562338,44.76631826596333,34.845203849303715,15.154796150696285,,,-12.611171886548785,,-0.770091117131233
2021-07-03 00:00:00,33760.94,33892.72,33296.98,33500.95,34041.422667307816,-1.5876911860880287,40.58080535455627,44.76631826596333,5.233681734036672,,,-8.309470359919935,,2.914872563315374
2021-07-03 04:00:00,33500.21,34650.0,33425.84,34477.46,34036.04482982217,1.296905008748451,58.196827491627275,40.58080535455627,9.419194645443731,,,12.215800714052566,,0.34503701838823897
2021-07-03 08:00:00,34476.47,34775.0,34372.09,34596.42,34040.43702057021,1.633301532215399,59.93330864167142,58.196827491627275,8.196827491627275,,,13.387890901380134,,-0.011157223782110037
2021-07-03 12:00:00,34596.43,34800.0,34459.66,34592.56,34045.96918951976,1.6054494070578302,59.83652659505583,59.93330864167142,9.933308641671417,,,15.947424468893797,,0.36259241871663406
2021-07-03 16:00:00,34592.56,34948.16,34469.26,34717.99,34051.4079040519,1.9575757273424805,62.21573708594919,59.83652659505583,9.83652659505583,,,19.25574570384007,,-0.18736683776910956
2021-07-03 20:00:00,34718.0,34899.7,34251.0,34652.94,34058.04056172303,1.7467224434090514,60.003629488879085,62.21573708594919,12.215737085949193,,,21.33750213081174,,-0.08403327394443938
2021-07-04 00:00:00,34653.32,34777.72,34340.75,34623.82,34063.95995911882,1.6435553633608102,58.879045049473405,60.003629488879085,10.003629488879085,,,16.44151889952158,,2.7211324458133346
2021-07-04 04:00:00,34623.83,35731.3,34602.6,35565.98,34069.530705794255,4.392339029052855,76.19848139376373,58.879045049473405,8.879045049473405,,,38.999776111520575,,-0.20800776472349458
2021-07-04 08:00:00,35565.99,35660.0,35350.17,35492.0,34084.42074852267,4.129685118789459,73.28987178095647,76.19848139376373,26.19848139376373,,,108.19147874670861,,-0.015919080356141535
2021-07-04 12:00:00,35492.01,35556.51,35215.0,35486.35,34098.42651221897,4.070344674947615,73.03437712795697,73.28987178095647,23.289871780956474,,,94.7978055838289,,0.18984764564402568
2021-07-04 16:00:00,35486.35,35683.84,35362.02,35553.72,34112.23669617699,4.225707380790316,74.31554925652554,73.03437712795697,23.034377127956972,,,97.3365374415154,,-0.7694272216803077
2021-07-04 20:00:00,35553.73,35955.55,35214.86,35280.16,34126.57981362796,3.3802982680127087,60.34520556402828,74.31554925652554,24.315549256525543,,,82.193809037611,,-2.648882544750386
2021-07-05 00:00:00,35280.17,35281.55,34199.02,34345.63,34138.05822344261,0.6080362720069613,34.08109025126713,60.34520556402828,10.345205564028277,,,6.290260224297427,,-0.3155860003150268
2021-07-05 04:00:00,34345.63,34409.48,34000.0,34237.24,34140.12361425413,0.28446407178595856,32.13452441424826,34.08109025126713,15.918909748732872,,,4.528357885517743,,-2.552571410545945
2021-07-05 08:00:00,34237.24,34538.0,33290.0,33363.31,34141.089946450615,-2.2781344932764127,20.697005750940335,32.13452441424826,17.86547558575174,47.265489759605195,,-40.69995617068866,,0.6351887747348961
2021-07-05 12:00:00,33363.28,33759.91,33290.0,33575.23,34133.35084250583,-1.6351188170216433,28.139627480289406,20.697005750940335,29.302994249059665,48.348953631425594,47.265489759605195,-47.913877291714456,-2264.6728764745094,1.559095797705612
2021-07-05 16:00:00,33575.22,34259.68,33032.0,34098.7,34127.797401286865,-0.0852601207887242,43.77947053740026,28.139627480289406,21.860372519710594,48.55229414630313,48.348953631425594,-1.8638180015170327,-90.11365013276333,-1.2492558367327655
2021-07-05 20:00:00,34098.7,34199.0,33650.57,33672.72,34127.5078749059,-1.332613786429771,36.10586692557579,43.77947053740026,6.2205294625997425,46.172533302290226,48.55229414630313,-8.289563320752992,-402.4773166936046,0.6655535994716244
2021-07-06 00:00:00,33672.72,34145.0,33603.7,33896.83,34122.98262241928,-0.662757487883527,42.471811165551635,36.10586692557579,13.89413307442421,42.58043603713689,46.172533302290226,-9.208440732724815,-425.17703639390237,2.8221813072195845
2021-07-06 04:00:00,33896.82,34948.0,33886.07,34853.46,34120.73234756934,2.147455819431893,61.9106232507253,42.471811165551635,7.528188834448365,40.148584618519386,42.58043603713689,16.16645292231834,688.3746146061608,-2.342550782619568
2021-07-06 08:00:00,34853.46,35120.0,33700.0,34037.0,34128.023169981585,-0.26671093584361877,45.99368887589837,61.9106232507253,11.910623250725301,35.50493073709488,40.148584618519386,-3.1766934736817096,-127.53974673520841,-0.017128419073364487
2021-07-06 12:00:00,34037.01,34501.3,33760.0,34031.17,34127.11746679769,-0.28114729259228394,45.89258875049956,45.99368887589837,4.006311124101629,30.76897125863979,35.50493073709488,-1.1263635258235225,-39.991458969154145,-0.09338497618506247
2021-07-06 16:00:00,34034.35,34200.0,33500.0,33999.39,34126.16276563553,-0.37148262611929334,45.24206603736692,45.89258875049956,4.107411249500437,26.56586473263594,30.76897125863979,-1.5258319175163504,-46.94827841557583,0.6077167855070398
2021-07-06 20:00:00,33999.39,34357.11,33602.21,34206.01,34124.90134508194,0.23768172718761907,50.69477777719114,45.24206603736692,4.757933962633082,22.187778259516314,26.56586473263594,1.1308739620832635,30.042644706364044,0.6690637113185627
2021-07-07 00:00:00,34206.0,34570.46,33925.0,34434.87,34125.708396374655,0.9059492627505161,56.45785088206209,50.69477777719114,0.6947777771911419,17.63366218910793,22.187778259516314,0.6294334150217573,13.965729041632857,0.7689589070613678
2021-07-07 04:00:00,34434.87,34905.0,34362.01,34699.66,34128.7846312366,1.672709341782139,62.537408236208336,56.45785088206209,6.45785088206209,12.861678631614444,17.63366218910793,10.802107498261284,190.48071455476926,0.35925424053144805
2021-07-07 08:00:00,34699.66,34988.88,34447.6,34824.32,34134.4649831646,2.020992616042583,65.27641699051316,62.537408236208336,12.537408236208336,12.167759125528969,12.861678631614444,25.338009469688508,325.88933496393713,-0.8310858618344796
2021-07-07 12:00:00,34823.82,35089.56,34462.88,34534.9,34141.32921218784,1.1527693762774283,54.23007534580024,65.27641699051316,15.276416990513155,12.722730541060447,12.167759125528969,17.61018568590776,214.27649758196375,0.21905376879620686
2021-07-07 16:00:00,34534.89,34770.0,34406.41,34610.55,34145.24533942975,1.3627216789476018,56.537050904768485,54.23007534580024,4.230075345800238,16.80511803583355,12.722730541060447,5.764415377303757,73.33910357218099,-2.2100486701309374
2021-07-07 20:00:00,34610.56,34610.56,33756.48,33845.64,34149.87523654985,-0.8908824247306053,35.081992543039675,56.537050904768485,6.537050904768485,17.755572514745193,16.80511803583355,-5.823743760627545,-97.86870130779508,-1.6617797742929485
2021-07-08 00:00:00,33845.63,33910.0,33046.7,33283.2,34146.848020265774,-2.5292173958580637,26.281699994154053,35.081992543039675,14.918007456960325,17.765595329307583,17.755572514745193,-37.73088397168437,-669.933446404679,-2.424075810018256
2021-07-08 04:00:00,33282.69,33483.81,32216.0,32476.39,34138.25450762631,-4.868041824619536,18.35562275525622,26.281699994154053,23.718300005845947,18.989629274334398,17.765595329307583,-115.46167643733186,-2051.2454196290864,0.5887045943222313
