variant,mode,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,case2_final_equity,case2_return_pct,case2_cagr_pct,case2_mdd_pct,case2_calmar_ratio,case2_trades,long_entries,short_entries,winner_adds,stop_exits,trail_exits,regime_exits
baseline_case2,baseline,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727,16969.923938388678,1596.9923938388679,99.00180359816797,74.0773722007741,1.336464842865112,,,,,,,
short_720_slow,momentum,20490.757044085636,924.5378522042819,76.03341736100529,60.14532184549204,1.2641617839593302,417.97491401543346,-58.20250859845666,-19.10425088006863,64.1414999321469,-0.2978454027467141,619.0,0.0,619.0,324.0,426.0,192.0,1.0
dual_720_slow,momentum,20423.256912716042,921.1628456358021,75.8923081730798,60.45416587475131,1.2553693707446592,350.47478264584163,-64.95252173541584,-22.494056402871678,69.94888118247322,-0.32157850165168783,1164.0,545.0,619.0,615.0,803.0,359.0,2.0
short_240_fast,momentum,20388.034105309867,919.4017052654933,75.81853459094738,60.57103564114668,1.2517292099830448,315.25197523966614,-68.47480247603339,-24.46372134290059,84.07038698729754,-0.29099094484478694,1133.0,0.0,1133.0,616.0,760.0,371.0,1.0
dual_240_fast,momentum,20314.412376766297,915.7206188383147,75.66402298816304,60.78046566595672,1.2448740258754325,241.63024669609493,-75.83697533039052,-29.191842601498784,86.83797576941166,-0.3361644757705361,2108.0,991.0,1117.0,1145.0,1410.0,693.0,4.0
dual_240_aggr,momentum,20163.074427600903,908.1537213800452,75.34507052935801,60.89956653456697,1.2372020823266727,90.29229753070095,-90.9707702469299,-44.25767553785914,94.90112296335602,-0.4663556568761391,2266.0,1072.0,1194.0,2026.0,1623.0,638.0,4.0
