timestamp,trend_4h_confirmed,ema200_prev_closed,ret4h_pct,tr_pct,atr20_pct,adx14,ema_dist_pct,stress_event,bull_impulse_event,stress_active_3,stress_active_6,bull_impulse_active_3
2022-01-01 16:00:00,bullish,46759.38582089553,0.0028011572466277723,0.016611666326480166,,,0.012138614935588654,False,False,False,False,False
2022-01-01 20:00:00,bullish,46765.033524170205,0.007973675903258481,0.01280721779041113,,,0.02008587196552125,False,False,False,False,False
2022-01-02 00:00:00,bullish,46774.37995676553,-0.007831570915440622,0.010190626601099744,,,0.011894760416893524,False,False,False,False,False
2022-01-02 04:00:00,bullish,46779.91597709622,-0.00337433909245044,0.014175222763797523,,,0.008360938978498211,False,False,False,False,False
2022-01-02 08:00:00,bullish,46783.80775841865,0.0012774787242342267,0.011355605287171779,,,0.009565109447527309,False,False,False,False,False
2022-01-02 12:00:00,bullish,46788.260417538855,0.002082940761740648,0.009520030560105239,,,0.01157169720843454,False,False,False,False,False
2022-01-02 16:00:00,bullish,46793.647677065834,-0.008903292817530106,0.02972438347251626,,,0.002449954825606726,False,False,False,False,False
2022-01-02 20:00:00,bullish,46794.78839669702,0.007924185682317564,0.013826353637901842,,,0.01036892397481659,False,False,False,False,False
2022-01-03 00:00:00,bullish,46799.61637284929,-0.010091793570219942,0.012200536462942582,,,6.930884058675701e-05,False,False,False,False,False
2022-01-03 04:00:00,bullish,46799.64864774631,0.005090500879647131,0.009935352290794215,,,0.005159469338565481,False,False,False,False,False
2022-01-03 08:00:00,bullish,46802.05124826625,0.006866334574162858,0.013918977892754704,,,0.0120092760198105,False,False,False,False,False
2022-01-03 12:00:00,bullish,46807.64387266162,-0.014232717557661312,0.021743847021599302,,,-0.002513561096595507,False,False,False,False,False
2022-01-03 16:00:00,bullish,46806.4731873615,-0.006970230664003041,0.011638202031508955,,,-0.009441497238908081,False,False,False,False,False
2022-01-03 20:00:00,bearish,46802.07594171611,0.0017526321295040503,0.01967626358545577,,,-0.00761218246301254,False,False,False,False,False
2022-01-04 00:00:00,bearish,46798.53100697267,-0.0028390074368387364,0.013352132564810375,,,-0.0103546200392588,False,False,False,False,False
2022-01-04 04:00:00,bearish,46793.70930541075,0.004485257681540844,0.011400921032946347,,,-0.005813373409560008,False,False,False,False,False
2022-01-04 08:00:00,bearish,46791.00254615294,0.004047575238039558,0.01026461582728143,,,-0.0017315838888687374,False,False,False,False,False
2022-01-04 12:00:00,bearish,46790.19635166386,0.004609293345875898,0.02415584946962499,0.01479237843652718,,0.002887007511592543,False,False,False,False,False
2022-01-04 16:00:00,bearish,46791.540467567705,-0.01848023069867677,0.03345709733078383,0.016051240943773398,,-0.015674851912090393,True,False,True,True,False
2022-01-04 20:00:00,bearish,46784.242452965045,-0.0048779704065018414,0.014844626475615335,0.016071831427809664,,-0.020323562018150998,False,False,True,True,False
2022-01-05 00:00:00,bearish,46774.78153303505,0.012574667131538542,0.018741101009787528,0.015962299740399432,,-0.007803810537891032,False,False,True,True,False
