policy_name,family,segment,tc_bps,turnover_mean,turnover_total,final_equity,total_return_pct,cagr_pct,mdd_pct,calmar,joint_p_q1,joint_ind_q1,joint_lift_q1,p_r2_tail_given_r1_tail_q1,joint_p_q5,joint_ind_q5,joint_lift_q5,p_r2_tail_given_r1_tail_q5,rise_crash_both_loss_ratio,rise_crash_event_joint_loss_freq,rise_crash_event_count,rise_crash_bars,joint_tail_port_mean_q1,joint_tail_port_p10_q1,joint_tail_port_mean_q5,joint_tail_port_p10_q5
C_dyn_ddm0.12_ddd0.16_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0003019576208871034,457.05000000000007,10.05740683810201,905.740683810201,122.9872965826345,54.33419007484599,2.26353418378406,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009196225884832173,-0.013709292454134787,-0.0049322778244540455,-0.0073529100542073286
C_dyn_ddm0.08_ddd0.16_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0002753327611961498,416.7499999999999,9.930303398285506,893.0303398285506,122.00418803697116,54.31522456594882,2.246224498047234,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009196552817012017,-0.013784486536980363,-0.004934663579068765,-0.007360750393440518
C_dyn_ddm0.10_ddd0.16_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.00029099055709380737,440.45,10.00193390390464,900.193390390464,122.55923240588405,54.35678117575616,2.2547183581309462,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009198377150177297,-0.013723197930533507,-0.004932146234254531,-0.007354952442637379
C_dyn_ddm0.12_ddd0.16_wm0.45_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.00030255222073131814,457.94999999999993,10.180783771986224,918.0783771986224,123.93385690751128,54.376839487947535,2.2791662419986887,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009211750695926375,-0.01376237783216119,-0.004940564155502533,-0.007360750393440518
C_dyn_ddm0.08_ddd0.16_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.00027371412828689824,414.2999999999998,9.949916772788491,894.9916772788491,122.15642554397373,54.31305969448825,2.249116993796803,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009211840862453052,-0.013784486536980363,-0.004943253453440346,-0.007369934281622715
C_dyn_ddm0.10_ddd0.16_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.00029082539047041423,440.1999999999998,10.059020818056368,905.9020818056367,122.99972797761023,54.301426802362066,2.2651288413706996,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009214610850358518,-0.013745123328106186,-0.004941791470373047,-0.007360996730920488
C_dyn_ddm0.12_ddd0.16_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.00029954618818556515,453.39999999999964,10.05450432466223,905.4504324662229,122.96493721031302,54.333216788557024,2.263163208039807,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.00921620895949966,-0.013759254621003001,-0.004943995169455098,-0.007364212111340605
C_dyn_ddm0.08_ddd0.16_wm0.35_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.00021547637687852262,326.15000000000003,9.912845950913397,891.2845950913397,121.86851953009841,55.21054967658979,2.20734117381506,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009219630321263628,-0.013784486536980363,-0.004944339069785998,-0.007385226675559366
C_dyn_ddm0.10_ddd0.16_wm0.45_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0002895370908079488,438.2499999999999,10.168226484219563,916.8226484219563,123.83785947309423,54.37778356337526,2.2773612927559994,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.00921970050356499,-0.01376237783216119,-0.00494369925978752,-0.0073659875654761625
C_dyn_ddm0.12_ddd0.16_wm0.35_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.0002361552381273275,357.4499999999998,10.0210572293272,902.10572293272,122.70697464501797,55.19491145648294,2.223157378226129,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.0092212452240166,-0.013784486536980363,-0.00494332806258003,-0.0073746326186504094
C_dyn_ddm0.10_ddd0.16_wm0.35_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.00022650950732117572,342.84999999999997,9.906615477946325,890.6615477946325,121.82006238804628,55.192730240241495,2.207175870042867,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009221883659205489,-0.013754678647796514,-0.004942412534351657,-0.007373581382463731
C_dyn_ddm0.08_ddd0.16_wm0.45_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0002769844274300801,419.2500000000001,10.31679759399092,931.679759399092,124.96873336167309,54.376656000168765,2.298205563822925,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009221982315351039,-0.01376237783216119,-0.0049484574272905405,-0.007373581382463731
C_dyn_ddm0.08_ddd0.16_wm0.35_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.0002133292107744135,322.9000000000001,9.830389526310308,883.0389526310307,121.22560276990706,55.16672228472406,2.197440735091036,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009232869992196883,-0.013784486536980363,-0.004952017094829323,-0.007400112900702656
C_dyn_ddm0.10_ddd0.16_wm0.35_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.0002247587411132098,340.19999999999993,9.751204044110414,875.1204044110415,120.60486861363566,55.10307226386577,2.188714052750252,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009235913494189181,-0.013767269475098598,-0.0049510841884487945,-0.007385106166808358
C_dyn_ddm0.12_ddd0.16_wm0.45_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.0002364195047247563,357.8499999999998,10.123046236071845,912.3046236071846,123.49182605816628,55.265444442328395,2.2345215406172065,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009237856148884694,-0.013780767437725949,-0.004951576924116731,-0.007384168271721507
C_dyn_ddm0.12_ddd0.16_wm0.35_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.00023414020532193285,354.4,9.897205894833643,889.7205894833643,121.74684218816326,55.1510353732367,2.2075168918269066,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009237922648977662,-0.013784486536980363,-0.00495374830706965,-0.007391969219949706
C_dyn_ddm0.12_ddd0.16_wm0.45_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.0003017924542637103,456.79999999999995,10.189594463969115,918.9594463969115,124.00116640282141,54.510319921136265,2.2748200080686045,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009241868379677979,-0.013780767437725949,-0.004957907181727543,-0.007378503452617856
C_dyn_ddm0.10_ddd0.16_wm0.45_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.0002247917744378884,340.24999999999994,10.060447223171673,906.0447223171673,123.01071352709174,55.25768357039564,2.2261286680680703,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009244691473246778,-0.013780767437725949,-0.004954311460899504,-0.0073871895691080824
C_dyn_ddm0.08_ddd0.16_wm0.45_wd0.15_vr1.20_hl60,C_dynamic,train,0.0,0.00021626917667080898,327.3499999999999,10.297825626969662,929.7825626969661,124.8249194979823,55.2579125140906,2.258951050062782,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009246746795700915,-0.013780767437725949,-0.0049584577673381465,-0.007402261269360811
C_dyn_ddm0.10_ddd0.16_wm0.45_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.0002881827244961261,436.19999999999993,10.116917593189594,911.6917593189594,123.44480949121342,54.51293033295703,2.264505113506658,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009250365014559591,-0.013780767437725949,-0.004961438261782633,-0.0073871895691080824
C_dyn_ddm0.08_ddd0.16_wm0.45_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.0002757621944169717,417.4,10.290469663024343,929.0469663024343,124.76911231239076,54.514968356817036,2.288712918179444,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.00925280196963868,-0.013780767437725949,-0.004966320856234073,-0.007400987816117687
C_dyn_ddm0.12_ddd0.20_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.00028993349070409214,438.85,10.497612570232068,949.7612570232068,126.33078990000332,54.43866485595661,2.3206077929036564,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009255752005076898,-0.013846888102018064,-0.004963662383185279,-0.007404359771949348
C_dyn_ddm0.08_ddd0.20_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0002626479645195666,397.55,10.378559489106228,937.8559489106228,125.43571721055527,54.42314943882829,2.3048228282257943,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009256807910386492,-0.01386094686966071,-0.0049660960329982705,-0.0074116170790151335
C_dyn_ddm0.10_ddd0.20_wm0.35_wd0.15_vr1.20_hl30,C_dynamic,train,0.0,0.0002783057604172241,421.25,10.465991271863427,946.5991271863427,126.09370138611875,54.46460787606336,2.315149347500134,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009258211752799388,-0.013846888102018064,-0.004963477035677432,-0.007400168677959868
C_dyn_ddm0.12_ddd0.16_wm0.45_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.00023519727171164806,355.9999999999999,9.99600537559832,899.6005375598321,122.51339258513725,55.2804988310966,2.2162135866295865,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.00926500716503517,-0.013799550483677833,-0.004967730402806581,-0.007402261269360807
C_dyn_ddm0.08_ddd0.20_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.0002609632649609578,394.99999999999983,10.330802210913632,933.0802210913632,125.07478236495456,54.43692881053198,2.2976090881298243,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009271797813996922,-0.0138852943587865,-0.004974501962569632,-0.007418354742201054
C_dyn_ddm0.10_ddd0.16_wm0.45_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.0002231070748792797,337.7,10.07423455776196,907.423455776196,123.11684520260928,55.270572554016795,2.2275297597520862,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.00927229370494255,-0.013799550483677833,-0.004970772371307166,-0.007415070784495881
C_dyn_ddm0.10_ddd0.20_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.00027814059379383096,420.9999999999998,10.45760970899136,945.7609708991359,126.03078018765297,54.425327458188065,2.3156641599350114,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009274153492270404,-0.013874122582166588,-0.004972931902890929,-0.0074130506480090145
C_dyn_ddm0.08_ddd0.16_wm0.45_wd0.15_vr1.35_hl60,C_dynamic,train,0.0,0.0002142541438654143,324.3,10.258188622744411,925.8188622744411,124.52389880294473,55.2737549682133,2.2528575971463427,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009274806313220745,-0.013799550483677833,-0.004975188425810071,-0.007423053038274723
C_dyn_ddm0.12_ddd0.20_wm0.35_wd0.15_vr1.35_hl30,C_dynamic,train,0.0,0.0002875881246519112,435.29999999999984,10.487872502165802,948.7872502165802,126.25781105552956,54.45036005715108,2.318769075594898,0.0016358102380843844,1.667521508710526e-05,98.09829915473392,0.48711390910879404,0.009404587535998066,0.00041296785669284224,22.773170801506282,0.5466170033023577,0.4188907044299201,0.9847494553376906,459.0,110160.0,-0.009275273303869196,-0.013906842761374022,-0.0049751315777731625,-0.007415795184087065
