curve,variant,initial_capital,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor
total_baseline_plus_case2,baseline,2000.0,45573.19532455645,2178.6597662278227,113.77926304686437,64.73926177164876,1.7575001619294288,1989,1235,754,,
case1_baseline,baseline,1000.0,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295
total_baseline_plus_hedge6x_plus_case2,baseline_plus_hedge6x,2000.0,42914.10757329861,2045.7053786649303,110.67841463691201,65.52109932441046,1.6892026504152045,1989,1235,754,,
case1_baseline_plus_hedge6x,baseline_plus_hedge6x,1000.0,25956.33983022203,2495.633983022203,120.75458582579,79.8348206447089,1.5125553593110388,610,544,66,91.80327868852459,2.202686829625046
total_baseline_plus_debtrelief_hedge6x_plus_case2,baseline_plus_debtrelief_hedge6x,2000.0,39587.81568628452,1879.390784314226,106.58767047800369,64.72013450826516,1.6469012508679473,1748,994,754,,
case1_baseline_plus_debtrelief_hedge6x,baseline_plus_debtrelief_hedge6x,1000.0,22630.04794320795,2163.0047943207946,113.51415761993762,74.06660092529866,1.5325957476356256,369,303,66,84.82384823848238,1.7005796289418837
case2_study42,case2,1000.0,16957.767743076576,1595.7767743076577,99.04564077331442,74.0773722007741,1.3370566183809556,1379,691,688,99.63741841914431,10373.625471124225
