variant,mode,target_case1_w,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
rebal_4h_w74,rebalance,0.74,49153.87389830633,2357.6936949153164,117.74535644628115,49.15094827744154,2.395586668677192,9013,196.4671137801556
rebal_4h_w75,rebalance,0.75,48927.5819765426,2346.37909882713,117.50130033109932,49.050446967258544,2.395519462025129,9013,191.80597659667612
rebal_4h_w72,rebalance,0.72,49571.77406269008,2378.5887031345037,118.19383562270764,49.35322546032555,2.394855341678169,9013,205.01473127547067
rebal_4h_w70,rebalance,0.7,49942.38361959072,2397.119180979536,118.58917561391347,49.55718457579822,2.392976449913738,9013,212.52249475840915
rebal_4h_w76,rebalance,0.76,48689.95403143163,2334.4977015715817,117.24409684596372,49.01290004361898,2.392106909438586,9013,186.88852196314227
hold_no_rebalance,hold,,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727,0,0.0
