variant,mode,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,trail_exits
reference_case1,reference,20072.7821300702,1907.2782130070202,107.29130916120972,61.04205953455899,1.7576620117226993,,,,,,
reference_case2,reference,16969.923938388678,1596.9923938388679,99.00180359816797,74.0773722007741,1.336464842865112,,,,,,
regime_hold_dual,live,4116.9905420388395,311.699054203884,41.04836572346458,33.96600279363785,1.2085132882092715,138.0,69.0,69.0,5.0,132.0,0.0
donchian_20_10_dual,live,2258.16739565397,125.81673956539699,21.892565230883896,30.695014929112553,0.7132286881580888,155.0,77.0,78.0,5.0,149.0,0.0
rsi_regime_dual,live,1653.7454558691315,65.37454558691316,13.004782994396113,55.31252059090412,0.23511463327770832,391.0,178.0,213.0,4.0,386.0,0.0
ema_reclaim_dual,live,1135.4537882292884,13.545378822928832,3.1355614959590827,52.710886866356674,0.059486031868691454,323.0,163.0,160.0,0.0,312.0,10.0
