variant,rsi_oversold,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events
rsi18_dca0p75,18,21156.19003628643,110.04592915721285,52.773253137527064,2.0852595323322825,38126.11397467511,1806.3056987337554,104.70734554000711,52.241617709852015,2.0042898771157467,3843,66,66,0
rsi15_dca0p75,15,11044.434564213734,79.33589147415294,57.66660040262984,1.375768485054217,28014.358502602412,1300.7179251301206,89.93499030505363,50.57732190686836,1.778168295874925,2952,66,66,0
rsi14_dca0p75,14,9834.511907220425,74.34657685145383,58.067390940059674,1.280349877062643,26804.435845609103,1240.221792280455,87.90788126605398,50.84236681312851,1.7290281073884708,2203,66,66,0
rsi16_dca0p75,16,8525.075728041375,68.39269921911043,64.46354826945473,1.0609515153157878,25494.999666430052,1174.7499833215027,85.6344389713489,52.17682922262683,1.6412350126905173,3505,66,66,0
rsi12_dca0p75,12,7823.467835639673,64.91230394808194,62.7024755318768,1.0352430808745614,24793.39177402835,1139.6695887014175,84.3797300939162,51.93582384970086,1.6246922420660168,1675,66,66,0
