entry_scale,final_equity,dca_count,dca_total,total_contribution,net_profit_after_contribution,account_return_on_contribution_pct,strategy_twr_total_pct,strategy_twr_cagr_pct,account_max_drawdown_pct,strategy_nav_max_drawdown_pct,calmar_twr_nav,trades,long_trades,short_trades,win_rate_pct,profit_factor,avg_holding_hours,worst_month_account,worst_month_strategy_nav
0.2,104594.43564941388,49,49000.0,50000.0,54594.43564941388,109.18887129882778,375.30501376372484,46.09093902508161,26.705989562940967,30.603480915334003,1.5060685139901047,701,635,66,92.86733238231099,3.2504992850290577,62.65553970518307,2024-12 (-13.6021%),2024-12 (-14.6229%)
0.3,158739.42237430468,49,49000.0,50000.0,108739.42237430468,217.47884474860933,862.4948188437024,73.43576446920702,42.026730728095615,44.203705990055234,1.661303341528158,701,635,66,92.86733238231099,3.106908218497417,62.65553970518307,2024-12 (-21.8850%),2024-12 (-22.4642%)
0.4,244742.84395676054,49,49000.0,50000.0,194742.84395676054,389.4856879135211,1757.7379019539553,103.51023848293109,55.36412000026931,56.54039473615542,1.8307307362454661,701,635,66,92.86733238231099,2.9717372584442074,62.65553970518307,2024-12 (-30.3450%),2024-12 (-30.6645%)
0.5,378205.7350375118,49,49000.0,50000.0,328205.7350375118,656.4114700750235,3316.751687021521,136.0139193386072,66.93931863837715,67.55446668872351,2.0133963896914495,701,635,66,92.86733238231099,2.8496238195674417,62.65553970518307,2024-12 (-39.0527%),2024-12 (-39.2248%)
0.6,578598.3725514709,49,49000.0,50000.0,528598.3725514709,1057.1967451029418,5882.081151998979,170.45026951248838,76.90216475924447,77.21125199004683,2.207583287659431,701,635,66,92.86733238231099,2.7429344580532136,62.65553970518307,2024-12 (-48.0539%),2024-12 (-48.1443%)
0.7,866951.8324303535,49,49000.0,50000.0,816951.8324303535,1633.903664860707,9852.19986940113,206.0874365729425,85.34794251023672,85.49343245555234,2.410564538744967,701,635,66,92.86733238231099,2.6522703618320667,62.65553970518307,2024-12 (-57.3752%),2024-12 (-57.4213%)
0.8,1260318.7942949708,49,49000.0,50000.0,1210318.7942949708,2420.6375885899415,15588.459539939246,241.9100928885189,92.33658264238362,92.3957500783378,2.618195021777682,701,635,66,92.86733238231099,2.5772272049013702,62.65553970518307,2024-12 (-67.0305%),2024-12 (-67.0530%)
