label,policy_name,family,p_tail_1pct,p_tail_5pct,cvar_1pct,cvar_5pct,event_mean_return,event_worst_return,event_loss_pct,event_bar_neg_pct,mdd_pct,cagr_pct,calmar,turnover_mean
Case1 only,A_static_w1_1.00,A_static,0.01000146445610871,0.05000115614955951,-0.006297897524336264,-0.0031930830661399266,-0.02660465873552675,-0.24313721914906816,1.0,0.5041425818882467,76.83889295161796,-11.886550701014576,-0.1546944554302599,0.0
Case2 only,A_static_w1_0.00,A_static,0.01000146445610871,0.05000115614955951,-0.0055490603734957315,-0.0029528829494221186,-0.010706265916669677,-0.13516097710282182,0.8323699421965318,0.4615606936416185,55.505223412530036,117.48182417058888,2.116590420642608,0.0
50/50 mix,A_static_w1_0.50,A_static,0.01000146445610871,0.05000115614955951,-0.004953336836274649,-0.0026424190311538707,-0.018691933214564756,-0.15906464850095958,0.976878612716763,0.5047206165703275,53.2532022280843,54.080985315665096,1.0155442875347738,0.0
Best policy,A_static_w1_0.30,A_static,0.01000146445610871,0.05000115614955951,-0.00492808035736081,-0.002664232511444465,-0.015506844830645298,-0.14956864050261964,0.9479768786127167,0.5042630057803468,54.01591973739216,81.46182329812441,1.5081076781468374,0.0
