variant,bullish_close_bars,shallow_gap_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events,bullish_hold_bars,early_release_events
shallow6_else2bull,2,0.06,20072.782130070198,107.377957805511,61.04205953455898,1.7590815025616713,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727,5408,64,64,0,35,32
shallow5_else2bull,2,0.05,19783.814639867822,106.64798986854404,60.44961030689143,1.764246110555751,36753.738578256496,1737.6869289128247,102.89158689622732,50.86497451650818,2.0228376770902337,5408,64,64,0,42,26
release1bull,1,-1.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,5408,66,66,0,0,0
shallow7_else2bull,2,0.07,18705.16870894873,103.84977815426444,64.33343033995165,1.6142428222076755,35675.09264733741,1683.7546323668707,101.42808296410041,50.85360762791464,1.9945110621497844,5408,65,65,0,28,38
shallow4_else2bull,2,0.04,17655.07373074752,101.00573745199424,60.44961030689156,1.6709079998896053,34624.997669136195,1631.2498834568096,99.97077745305253,51.40482245839737,1.9447742968854773,5408,64,64,0,48,21
