case1_variant,variant_label,off_switches,on_switches,off_ratio_1m_pct,off_ratio_4h_pct,blocked_open_signals,blocked_add_signals,blocked_hedge_open_signals,stress_off_ratio_1m_pct,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,win_rate_pct,profit_factor
r1_bear_only,R1 bear_only,64,63,50.48013378260512,50.499334221038616,367,7,4475,77.74022837180131,0.0,-100.0,-99.9774906209129,100.0,-0.999774906209129,475,100.0,inf
r2_bear_mature,R2 bear_mature,45,44,43.76510534547711,43.78606302707501,342,1,216,73.63513380431345,27484.99151326363,2648.499151326363,123.84797816864092,76.83889295167448,1.611787643095423,545,91.19266055045871,2.1960733239653454
r3_bear_chop,R3 bear_chop,35,35,5.693946392614579,5.703506435863293,41,3,493,1.4927616609046757,19469.91230983222,1846.991230983222,105.84583154887403,91.08552846196824,1.1620488274717404,590,93.38983050847457,2.3031151199954185
r4_bear_highvol_p80,R4 bear_highvol(P80),24,23,31.905819413831665,31.924101198402134,991,1,1030,63.318492103394476,0.0,-100.0,-99.9774906209129,100.0,-0.999774906209129,530,92.83018867924528,3.4541201959601917
r5_risk_or_crash,R5 risk_or_crash,92,91,23.33962597476592,23.357745228584108,501,5,976,37.18686991722429,16501.755519881008,1550.1755519881008,97.73057353801715,83.76046614517617,1.1667864093381186,526,92.20532319391636,2.2314963634092595
