trade_id,entry_idx,exit_idx,entry_time,exit_time,side,side_label,entry_price,exit_price,entry_reason,exit_reason,entry_wallet,exit_wallet,trade_return_pct,trade_pnl,underlying_return_pct,favorable_excursion_pct,adverse_excursion_pct,bars_held,hours_held,entry_trend,entry_short_gate_open,entry_short_sweep_event,entry_bearish_ob_above_count,entry_bullish_ob_below_count,entry_price_vs_red_avg_pct,entry_price_vs_white_avg_pct,entry_price_vs_red_floor_pct,analysis_note
119,175475,177056,2026-01-03 20:45:00,2026-01-20 08:00:00,1,long,90268.5,91098.7,bullish_trend_long,signal_flip,134481.96877100787,137962.74166317945,2.5882822239898573,3480.772892171575,0.9197006707766242,8.48978325772558,-1.137163019214893,1582,395.25,bullish,0,0,4,5,0.5327579836439167,0.31139624293961,0.5623972306086911,4시간 bullish 롱이었지만 추세가 다시 bearish로 꺾여 시그널 청산됐다. 트레이드 수익률 2.59%.
120,177716,177991,2026-01-27 05:00:00,2026-01-30 01:45:00,-1,short,88541.2,81901.8,bearish_trend_short_gate,short_tp,137800.49747898354,168065.7525314388,21.963095639093133,30265.255052455264,-7.498655992916281,9.31012345679012,-2.2645312481027746,276,68.75,bearish,1,0,5,5,0.1272539202790579,0.2274590748464922,0.1590248449526932,24시간 상단 유동성 스윕 뒤 short gate가 열려 들어간 숏이 가격 하락을 타고 TP에 도달했다. 트레이드 수익률 21.96%.
121,181216,181392,2026-03-04 16:00:00,2026-03-06 12:00:00,1,long,73378.2,70174.4,bullish_trend_long,signal_flip,167868.10720646183,146105.378323822,-12.964183158313535,-21762.728882639844,-4.366146893764089,0.9107609617025281,-4.467539405436494,177,44.0,bullish,0,0,4,5,3.698708218317459,3.062510910907923,3.9073087756996694,4시간 bullish 롱이었지만 추세가 다시 bearish로 꺾여 시그널 청산됐다. 트레이드 수익률 -12.96%.
122,181675,181789,2026-03-09 10:45:00,2026-03-10 15:15:00,-1,short,67575.9,71630.454,bearish_trend_short_gate,stop_loss,145933.55839891318,119978.44054218761,-17.78557183247501,-25955.11785672557,6.000000000000005,0.40846347008216544,-5.81506687981983,115,28.5,bearish,1,0,5,5,-0.16348403380803678,0.1319613520180729,-0.06144799998732964,24시간 상단 유동성 스윕 뒤 short gate가 열려 들어간 숏이었지만 반등이 커서 6% 손절로 종료됐다. 트레이드 수익률 -17.79%.
123,182039,182230,2026-03-13 05:45:00,2026-03-15 05:30:00,1,long,71555.8,71666.9,bullish_trend_long,final_close,119837.34589611,120243.70320127708,0.3390907084335426,406.3573051670828,0.155263444752185,3.234119386548673,-1.816484477848057,192,47.75,bullish,0,0,4,5,1.044524421672044,0.800982144125717,1.1168975340874354,4시간 bullish 롱이 상승 구간을 타며 이익 실현됐다. 트레이드 수익률 0.34%.
