episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,long_in_bearish_share_pct,short_in_bullish_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
E1,625,2402,4495.0,2021-01-08 12:15:00,2021-01-27 00:30:00,2021-02-17 19:45:00,1776.0369331705974,629.0567859034574,1802.5519734809907,64.58087249455677,1777,3870,18.510416666666668,40.3125,-22.477082878723497,25.5166042654845,69.23509561304837,30.76490438695163,62.485939257592804,0.11248593925759282,37.40157480314961,0.0,0.0,0.3374578177727784,4.6265466816647915,3.5984251968503935,6,하락장에서 레버리지 롱 노출
E2,79900,85059,102329.0,2023-04-14 07:00:00,2023-06-07 00:45:00,2023-12-03 22:15:00,19375.243196808995,8612.43765731958,19387.220793181146,55.54926681520052,5159,22429,53.739583333333336,233.63541666666666,-11.514953666743166,28.681368762302473,38.83720930232558,61.16279069767442,31.2984496124031,45.38759689922481,23.313953488372093,0.0,0.0,4.341085271317829,4.922674418604651,4.953682170542636,14,양방향 휩쏘 누적
E3,138780,149160,153711.0,2024-12-17 15:00:00,2025-04-04 18:00:00,2025-05-22 03:45:00,151676.76301383646,69086.46062091234,152754.9067786497,54.45151963415118,10380,14931,108.125,155.53125,-21.89592092543513,3.155582074088459,32.09710047201618,67.90289952798382,29.370966188228493,24.737501204122918,45.891532607648585,0.0,0.0,6.367401984394568,4.729891147288315,4.917637992486273,25,혼합형 추세/휩쏘 drawdown
E4,9840,12741,19706.0,2021-04-14 12:00:00,2021-05-14 17:15:00,2021-07-26 06:30:00,2988.932709448053,1411.7931107442766,3051.857395074723,52.76597876286806,2901,9866,30.21875,102.77083333333333,-21.35601911537751,-39.44224973194147,43.55616815988973,56.44383184011027,42.108890420399725,11.509303928325293,46.38180565127498,0.0,0.0,5.85802894555479,4.746726395589249,4.944176430048243,10,혼합형 추세/휩쏘 drawdown
E5,40764,42122,71217.0,2022-03-02 15:00:00,2022-03-16 18:30:00,2023-01-13 20:15:00,9076.59361795218,4425.780356470091,9096.928325657016,51.23963303020924,1358,30453,14.145833333333334,317.21875,-12.509430216398654,-57.275494672754945,25.82781456953642,74.17218543046357,16.99779249448124,24.429727740986017,58.572479764532744,0.0,0.0,4.856512141280353,4.933038999264165,4.945548197203826,6,flat 구간이 길었지만 회복이 지연
