variant,mode,min_bear_run_4h,min_entry_count,stress_gap_pct,stress_add_fraction,risk_score_min,dd30_threshold_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,scaled_dca_signals,blocked_reentry_signals,brake_active_bars,brake_active_bars_in_position,reentry_events,stop_loss_events,hedge_open_events,hedge_close_events
baseline_m4,none,0,99,0.0,1.0,0,-999.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,0,0,0,0,36,96,66,66
bear4_entry3_gap0_add50,bear_run,4,3,0.0,0.5,0,-999.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,258,0,258,258,38,100,66,66
bear4_entry3_gap0_add25,bear_run,4,3,0.0,0.25,0,-999.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,258,0,258,258,38,100,66,66
risk4_entry2_gap0_add50,risk,0,2,0.0,0.5,4,-6.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,125,0,125,125,38,100,66,66
risk4_entry3_gap1_add50,risk,0,3,0.01,0.5,4,-6.0,16396.815526884086,97.42405781967737,65.95570052484611,1.477113532938322,33366.73946527277,1568.3369732636384,98.17984557170516,50.329741531786375,1.9507321632021188,125,0,125,125,38,100,66,66
