variant,variant_label,case1_window_return_pct,case1_window_mdd_pct,total_window_return_pct,total_window_mdd_pct,stress_off_ratio_1m_pct,window_start_equity_case1,window_end_equity_case1,window_start_equity_total,window_end_equity_total
baseline_hedge5x,Baseline hedge5x,-9.924103417460383,49.819622782945075,6.181785143568441,47.51036825074129,0.0,31768.129618625087,28615.42758147987,42919.97470464159,45573.19532455645
r2_soft_off_block_hedgeopen,R2 soft-off (block hedge open),-9.924103417460318,49.81962278294503,6.666906941739015,47.440453244442,73.63513380431345,30513.14786312249,27484.99151326363,41664.992949138985,44442.75925634021
r2_soft_off_keep_hedgeopen,R2 soft-off (keep hedge open allowed),-9.924103417460206,49.819622782945025,8.468214527572982,47.179432572750926,73.63513380431345,26432.56008254496,23809.36548407089,37584.405168561454,40767.13322714747
