variant,open_delay_pct,open_wait_bars,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events,pending_open_placed,pending_open_limit_fill,pending_open_fallback_open,pending_open_cancel
open_now_dca0p75,0.0,0,21156.19003628643,110.04592915721285,52.773253137527064,2.0852595323322825,38126.11397467511,1806.3056987337554,104.70734554000711,52.241617709852015,2.0042898771157467,3843,66,66,0,0,0,0,0
delay0p25_wait240,0.0025,240,17182.77779880669,99.68469388858693,58.87958706209863,1.6930263757361668,34152.70173719537,1607.6350868597685,99.30440554719485,50.55311076079483,1.9643579604246202,4026,66,66,0,520,416,104,0
delay0p10_wait30,0.001,30,13021.697202202071,86.66381826431517,67.83525214191353,1.277563147889709,29991.62114059075,1399.5810570295373,93.10945492116825,52.1955457692574,1.7838582497590951,4378,66,66,0,519,381,138,0
delay0p15_wait60,0.0015,60,12371.360772794931,84.35267985827142,67.0162340386607,1.2586902422718884,29341.28471118361,1367.0642355591804,92.08331087573262,52.27837804011377,1.761403362688033,4228,66,66,0,499,356,143,0
delay0p20_wait120,0.002,120,10079.171994670534,75.3915263952085,60.43705694702653,1.2474387437708898,27049.095933059212,1252.4547966529606,88.32329218064771,52.70685927095975,1.6757456885561723,4146,66,66,0,511,386,125,0
