variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio
case2_only,130370.95726152141,6418.547863076072,123.39424119209012,73.7105098808292,1.6740386329111905
case3_only,240487.40640255416,11924.37032012771,151.32613047083146,64.58087249455677,2.343203562069962
case2_case3_half_mix,185429.1818320694,9171.459091603469,139.06231188105505,55.562799041604904,2.5027952925288464
