variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_quality_bearish_ob,blocked_long_quality_delay,blocked_long_quality_cap,blocked_long_quality_cooldown,bulltrim_count,unlock_short_lock_count,slow_bear_short_entries,survived_to_end,episode_count,representative_episode_count,avg_rep_depth_pct,avg_rep_days_to_recovery,deepest_rep_depth_pct,longest_rep_days_to_recovery,top_label
unlock_slowbear_24h_2p0,338467.58511037746,33746.75851103775,206.7044008454698,69.93774215063515,2.95554867070573,15.141452721844217,47.759487999149144,171,67,104,30,91,49,0,8,12776,719,87,27623,4409,50,0,0,0,41,17,1,448,7,56.45729827922845,166.72767857142853,69.93774215063515,555.0729166666666,two_way_whipsaw
combo_trim2p0_unlock24h,213826.42612301745,21282.642612301745,180.76405308447337,63.97840034221949,2.825391884097902,19.1725148243272,44.95496589039673,238,134,104,34,154,49,0,8,12776,719,87,27622,4557,50,0,0,65,41,17,1,473,8,48.97441298289064,142.53776041666669,63.97840034221949,583.96875,two_way_whipsaw
