anchor_timestamp,drop_start,drop_end,past_rise,future_drop_signal,realized_case1_drop_window,case2_return_same_window,corr_drop_window,both_loss_rate_drop_window,offset_rate_drop_window,bars_in_drop_window
2022-02-08 06:50:00,2022-02-08 06:51:00,2022-02-08 10:50:00,0.034476614391049765,-0.05346975741748783,-0.05346975741748783,-0.047338855829940574,0.9958854876339888,0.48333333333333334,0.0,240
2022-02-09 00:23:00,2022-02-09 00:24:00,2022-02-09 04:23:00,0.04150460137131873,-0.014780446662473357,-0.014780446662473357,-0.018821069717835592,0.9947633599643891,0.5083333333333333,0.0,240
2022-02-09 05:51:00,2022-02-09 05:52:00,2022-02-09 09:51:00,0.07789635330065248,-0.014925912078735726,-0.014925912078735726,-0.012010170116538155,0.999997556650515,0.5,0.0,240
2022-02-09 22:59:00,2022-02-09 23:00:00,2022-02-10 02:59:00,0.04643177763330808,-0.015044676402773294,-0.015044676402773294,-0.014808591612718525,0.9997321105121126,0.49583333333333335,0.0,240
2022-02-10 10:13:00,2022-02-10 10:14:00,2022-02-10 14:13:00,0.034614189389609695,-0.04723862373320853,-0.04723862373320853,-0.04092637920886577,0.9941003693071454,0.32916666666666666,0.0,240
2022-02-10 15:53:00,2022-02-10 15:54:00,2022-02-10 19:53:00,0.0979697224366074,-0.018122423773141993,-0.018122423773141993,-0.018122423773141993,1.0,0.375,0.0,240
2022-02-10 19:54:00,2022-02-10 19:55:00,2022-02-10 23:54:00,0.05969681756732914,-0.06878178708403171,-0.06878178708403171,-0.051454479311585866,0.9786837000887139,0.5083333333333333,0.0,240
2022-02-11 13:43:00,2022-02-11 13:44:00,2022-02-11 17:43:00,0.04495743489242465,-0.013907174150345591,-0.013907174150345591,-0.012988517794684129,0.9999998880309712,0.49583333333333335,0.0,240
2022-02-11 17:59:00,2022-02-11 18:00:00,2022-02-11 21:59:00,0.034512405335244134,-0.04802670536090459,-0.04802670536090459,-0.04643627092867142,0.9981923067832532,0.5083333333333333,0.0,240
2022-02-12 17:58:00,2022-02-12 17:59:00,2022-02-12 21:58:00,0.034654474233832167,-0.0623801321702826,-0.0623801321702826,-0.04906456541346582,0.9999825334465299,0.5125,0.0,240
2022-02-13 10:35:00,2022-02-13 10:36:00,2022-02-13 14:35:00,0.03743356494208894,-0.022512260413825813,-0.022512260413825813,-0.01766512077033977,0.999999364552458,0.49166666666666664,0.0,240
2022-02-13 15:21:00,2022-02-13 15:22:00,2022-02-13 19:21:00,0.03814307218597701,-0.036001843776278464,-0.036001843776278464,-0.028279125755284573,0.9999938630142481,0.525,0.0,240
2022-02-14 14:24:00,2022-02-14 14:25:00,2022-02-14 18:24:00,0.07646833864734237,-0.018075518853674644,-0.018075518853674644,-0.014208403867131514,0.9999991227051719,0.5166666666666667,0.0,240
2022-03-01 06:30:00,2022-03-01 06:31:00,2022-03-01 10:30:00,0.14982838474787585,-0.013974248214647766,-0.013974248214647766,-0.013974248214647655,0.9999999999999999,0.5083333333333333,0.0,240
2022-03-01 12:50:00,2022-03-01 12:51:00,2022-03-01 16:50:00,0.03562831938537081,-0.014112583568360648,-0.014112583568360648,-0.014112583568360648,0.9999999999999998,0.3125,0.0,240
