date,timestamp_start,timestamp_end,equity_total_start,equity_total_end,equity_case1_start,equity_case1_end,equity_case2_start,equity_case2_end,return_total_pct,return_case1_pct,return_case2_pct,loss_rank_total
2025-01-07,2025-01-07 00:00:00,2025-01-07 23:59:00,38197.234433291975,29443.135371597546,30788.8591676056,22709.33704401105,7408.375265686375,6733.798327586491,-22.918148896309955,-26.241706714795697,-9.105598918893133,1
2022-02-04,2022-02-04 00:00:00,2022-02-04 23:59:00,2345.225108420225,1839.9059544526667,1000.0,1000.0,1345.2251084202248,839.9059544526666,-21.54672283497544,0.0,-37.56391036746136,2
2024-03-19,2024-03-19 00:00:00,2024-03-19 23:59:00,31957.729912418094,25269.798442164058,24830.47240636787,19462.40828930436,7127.257506050224,5807.3901528597,-20.92742972852789,-21.618856174829958,-18.518586596178245,3
2023-03-13,2023-03-13 00:00:00,2023-03-13 23:59:00,5412.06709182254,4323.705398033911,3921.262852136681,3142.4541593148265,1490.804239685859,1181.251238719084,-20.10990764384848,-19.861170296132645,-20.764161566377336,4
2025-10-10,2025-10-10 00:00:00,2025-10-10 23:59:00,50735.26779359774,40688.30373772037,38659.25693839225,30753.878925721845,12076.01085520549,9934.424811998524,-19.802722036967722,-20.448861770076153,-17.734217606170944,5
2022-03-04,2022-03-04 00:00:00,2022-03-04 23:59:00,2112.013002055494,1704.5355226124443,1243.5531979099185,1003.4046434582318,868.4598041455755,701.1308791542127,-19.29332248648453,-19.31148219917832,-19.267319476689828,6
2024-08-27,2024-08-27 00:00:00,2024-08-27 23:59:00,27986.854453363427,22896.343532258525,23728.43491969883,19065.30136899444,4258.419533664598,3831.0421632640814,-18.188935557540407,-19.652090694077597,-10.03605603022245,7
2022-03-10,2022-03-10 00:00:00,2022-03-10 23:59:00,1680.606658536131,1378.35798832172,1063.6680000835452,806.9550766707138,616.9386584525857,571.4029116510062,-17.984497959664182,-24.13468520183629,-7.380919671299724,8
2024-12-18,2024-12-18 00:00:00,2024-12-18 23:59:00,63971.13238610688,52890.73591802739,54277.84062920326,44466.20903414218,9693.291756903613,8424.526883885212,-17.320932199858795,-18.07668006192218,-13.08910228679313,9
2024-01-12,2024-01-12 00:00:00,2024-01-12 23:59:00,14733.171308856929,12331.862858335142,11316.641162182235,9478.596623778292,3416.530146674691,2853.2662345568497,-16.29865288458451,-16.24196183357205,-16.486431787117873,10
2024-12-26,2024-12-26 00:00:00,2024-12-26 23:59:00,39740.59945585884,33292.19487013317,32236.278117289407,26265.76748569483,7504.321338569438,7026.4273844383415,-16.226238843951315,-18.52109170255728,-6.3682501397547835,11
2024-10-01,2024-10-01 00:00:00,2024-10-01 23:59:00,25358.774079448107,21252.29955857272,20401.500868998854,16796.17059432106,4957.273210449255,4456.128964251661,-16.19350567976967,-17.67188746469276,-10.109272273742153,12
2024-04-02,2024-04-02 00:00:00,2024-04-02 23:59:00,36189.20238151,30655.74600341429,28354.753282119807,23786.45297218775,7834.449099390186,6869.293031226536,-15.290351856229067,-16.111232795711807,-12.319386544215028,13
