variant,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
regime_hold_case3_w68_24_8,0.68,0.23999999999999994,0.08,47161.93502397171,2258.0967511985855,115.57015926166252,46.13117352597656,2.505250797415434,9012,262.97048303881934
regime_hold_case3_w67_25_8,0.67,0.24999999999999994,0.08,47376.9692780151,2268.848463900755,115.80863048513285,46.23658717917202,2.5046967683051795,9012,266.69766028966836
regime_hold_case3_w66_26_8,0.66,0.25999999999999995,0.08,47580.86003768122,2279.043001884061,116.03398813224901,46.342449123726624,2.503838064804421,9012,270.18108988108094
regime_hold_case3_w65_27_8,0.65,0.26999999999999996,0.08,47773.45618021473,2288.6728090107363,116.24619161758321,46.44875685169517,2.5026760562988186,9012,273.41645654316056
regime_hold_case3_w64_28_8,0.64,0.27999999999999997,0.08,47954.61076182068,2297.7305380910343,116.44519853828173,46.555506621022566,2.501212144165559,9012,276.403089233149
regime_hold_case3_w63_29_8,0.63,0.29,0.08,48124.185053317786,2306.2092526658894,116.63096896316496,46.66269559547512,2.4994477381729885,9012,279.1388516329216
regime_hold_case3_w62_30_8,0.62,0.3,0.08,48282.0499728853,2314.1024986442653,116.80346681580991,46.770321083921154,2.4973843264027744,9012,281.6236085490347
regime_hold_case3_w61_31_8,0.61,0.31,0.08,48428.08049129342,2321.404024564671,116.96265359721272,46.878380267687206,2.495023354674946,9012,283.8604685428839
regime_hold_case3_w60_32_8,0.6,0.32,0.08,48562.16209401221,2328.1081047006105,117.10849530241126,46.98687054205983,2.4923663557798075,9012,285.84868091801366
regime_hold_case3_w69_24_7,0.69,0.24000000000000005,0.07,47397.547639071185,2269.877381953559,115.83140873425602,46.48910219423913,2.4915819679694673,9012,254.91070780027664
regime_hold_case3_w68_25_7,0.68,0.24999999999999994,0.07,47615.5497629428,2280.77748814714,116.07225740924196,46.593837789362155,2.4911503949078524,9012,258.78639833137
regime_hold_case3_w67_26_7,0.67,0.25999999999999995,0.07,47822.37114684326,2291.118557342163,116.29998325225101,46.69901875914898,2.4904159946501285,9012,262.4129639774439
regime_hold_case3_w66_27_7,0.66,0.26999999999999996,0.07,48017.861770654505,2300.8930885327254,116.51454874485094,46.80464334169583,2.489380121844752,9012,265.7884801179145
regime_hold_case3_w65_28_7,0.65,0.27999999999999997,0.07,48201.86663320144,2310.093331660072,116.71590450306417,46.9107076599047,2.488043995184132,9012,268.9134277181155
regime_hold_case3_w64_29_7,0.64,0.29,0.07,48374.253966111006,2318.7126983055505,116.9040200386057,47.01720905819975,2.486409176135855,9012,271.7861243822195
regime_hold_case3_w63_30_7,0.63,0.3,0.07,48534.88783144544,2326.744391572272,117.07885357131254,47.12414457579065,2.484477004840107,9012,274.4073132962929
regime_hold_case3_w62_31_7,0.62,0.31,0.07,48683.642985747014,2334.1821492873505,117.24036815553438,47.23151145980322,2.482248916707076,9012,276.77806321306133
regime_hold_case3_w69_23_8,0.69,0.23000000000000004,0.08,46935.911423851525,2246.795571192576,115.31861207063963,46.45776433126571,2.4822247417754264,9012,259.0055256509962
regime_hold_case3_w61_32_7,0.61,0.32,0.07,48820.40920354913,2341.0204601774562,117.38853616628533,47.33930693329037,2.479726547997565,9012,278.8958386195405
regime_hold_case3_w70_24_6,0.7,0.24000000000000005,0.06,47620.81490343533,2281.040745171766,116.07806400243925,46.845448891540066,2.4778941551225495,9012,246.41085936132413
regime_hold_case3_w69_25_6,0.69,0.25000000000000006,0.06,47841.74110122279,2292.0870550611394,116.32127281868367,46.94950981278819,2.4775822640644454,9012,250.4327429899392
regime_hold_case3_w68_26_6,0.68,0.25999999999999995,0.06,48051.45648242315,2302.5728241211573,116.551354829826,47.05401343551188,2.4769694723184688,9012,254.20606986661434
regime_hold_case3_w60_33_7,0.6,0.33,0.07,48945.074706120424,2347.253735306021,117.52332118183202,47.44752824469255,2.4769113488009378,9012,280.7623763387224
regime_hold_case3_w67_27_6,0.67,0.26999999999999996,0.06,48249.807161708006,2312.4903580854,116.76827006096593,47.15895811961133,2.4760570359676195,9012,257.7271482258502
regime_hold_case3_w66_28_6,0.66,0.27999999999999997,0.06,48436.64428101416,2321.832214050708,116.97197763583746,47.26434016391126,2.4748463054849026,9012,260.9938132813851
regime_hold_case3_w65_29_6,0.65,0.29,0.06,48611.821989280645,2330.591099464032,117.16243344521389,47.3701566781721,2.473338524953659,9012,264.00618081074407
regime_hold_case3_w64_30_6,0.64,0.3,0.06,48775.208311420734,2338.760415571037,117.33960181044183,47.47640495160148,2.471535111600393,9012,266.76458190266106
regime_hold_case3_w63_31_6,0.63,0.31,0.06,48926.67555246405,2346.3337776232024,117.50344486639972,47.583082284471324,2.4694374392124407,9012,269.2687942865433
