threshold_pct,below_coverage_pct,above_coverage_pct,inside_band_pct
1.0,45.20558182509919,44.569677699874994,10.224740475025817
2.0,38.36825370944073,39.16721017446601,22.464536116093267
3.0,31.267324311103867,34.030382085982936,34.7022936029132
4.0,25.385890537529214,29.975813902929506,44.63829555954128
5.0,21.595603021903365,26.284037175933474,52.120359802163165
6.0,18.176938964074136,22.488314582314256,59.33474645361161
8.0,12.228246100331539,15.436300885917714,72.33545301375075
10.0,8.806185118756455,10.30966356867221,80.88415131257133
12.0,5.778846676449807,6.871976737866188,87.349176585684
15.0,3.2291157128104793,4.256345453557259,92.51453883363226
