episode_id,variant,window_return_pct,window_mdd_pct
E1,lv3p0_g12_body25_tp20_lb5_none,-64.58087249455677,64.58087249455677
E1,lv3p0_g8_body20_tp20_lb5_none,-64.58087249455677,64.58087249455677
E1,lv2p5_g12_body20_tp20_lb5_none,-59.044809024174846,59.044809024174846
E1,lv2p25_g8_body20_tp15_lb5_none,-55.853839050087394,55.853839050087394
E1,lv2p0_g12_body20_tp15_lb5_none,-52.32060938821165,52.32060938821165
E2,lv3p0_g12_body25_tp20_lb5_none,-55.54926681520052,55.54926681520052
E2,lv3p0_g8_body20_tp20_lb5_none,-55.19290437514306,55.19290437514306
E2,lv2p5_g12_body20_tp20_lb5_none,-49.49216254019234,49.49216254019234
E2,lv2p25_g8_body20_tp15_lb5_none,-45.816939926905754,45.816939926905754
E2,lv2p0_g12_body20_tp15_lb5_none,-42.52764612221721,42.52764612221721
E3,lv3p0_g12_body25_tp20_lb5_none,-54.45151963415118,54.45151963415118
E3,lv3p0_g8_body20_tp20_lb5_none,-54.45151963415118,54.45151963415118
E3,lv2p5_g12_body20_tp20_lb5_none,-47.09240493404959,47.09240493404959
E3,lv2p25_g8_body20_tp15_lb5_none,-46.01557476030309,46.01557476030309
E3,lv2p0_g12_body20_tp15_lb5_none,-42.05507180563773,42.05507180563773
E4,lv3p0_g12_body25_tp20_lb5_none,-52.76597876286806,52.76597876286806
E4,lv3p0_g8_body20_tp20_lb5_none,-52.76597876286806,52.76597876286806
E4,lv2p5_g12_body20_tp20_lb5_none,-45.866748547965585,45.866748547965585
E4,lv2p25_g8_body20_tp15_lb5_none,-43.61382100390576,43.61382100390576
E4,lv2p0_g12_body20_tp15_lb5_none,-39.91436891541529,39.91436891541529
E5,lv3p0_g12_body25_tp20_lb5_none,-51.23963303020924,51.23963303020924
E5,lv3p0_g8_body20_tp20_lb5_none,-51.23963303020922,51.23963303020922
E5,lv2p5_g12_body20_tp20_lb5_none,-44.93654346640813,44.93654346640813
E5,lv2p25_g8_body20_tp15_lb5_none,-41.5081189981278,41.5081189981278
E5,lv2p0_g12_body20_tp15_lb5_none,-37.88017622040248,37.88017622040248
