timestamp,event,price,campaign_id,qty_before,qty_after,debt_before,debt_after,debt_delta,bep_before,bep_after,hedge_pnl,applied_usd,variant
2022-02-05 06:44:00,LONG_BUY_OPEN,41489.53,1,0.0,0.014461479799843479,0.0,600.24,600.24,0.0,41522.73490596238,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-05 09:50:00,LONG_BUY_ADD_DCA_x1,41280.27,1,0.014461479799843479,0.028922959599686958,600.24,1197.4525802533794,597.2125802533794,41522.73490596238,41418.02116846738,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-05 17:04:00,LONG_BUY_ADD_DCA_x3,41065.51,1,0.028922959599686958,0.0723073989992174,1197.4525802533794,2979.769351911193,1782.3167716578137,41418.02116846738,41226.23379991996,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-06 13:07:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),41733.28,1,0.0723073989992174,0.0,2979.769351911193,-36.64852662346402,-3016.417878534657,41226.23379991996,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-06 20:47:00,LONG_BUY_OPEN,41586.01,2,0.0,0.014956691348222115,0.0,622.237911620468,622.237911620468,0.0,41619.29212084834,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-06 23:19:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),42119.99,2,0.014956691348222115,0.0,622.237911620468,-7.485788123725911,-629.7236997441939,41619.29212084834,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 00:19:00,LONG_BUY_OPEN,41930.0,3,0.0,0.014941106340288907,0.0,626.7311810838532,626.7311810838532,0.0,41963.557422969185,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 00:26:00,LONG_BUY_ADD_DCA_x3,41620.0,3,0.014941106340288907,0.05976442536115563,626.7311810838532,2493.0239373473855,1866.2927562635323,41963.557422969185,41730.87134853941,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 02:20:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),42242.01,3,0.05976442536115563,0.0,2493.0239373473855,-30.535688621304416,-2523.55962596869,41730.87134853941,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 02:58:00,LONG_BUY_OPEN,42322.4,4,0.0,0.015235478186990727,0.0,645.0599228219047,645.0599228219047,0.0,42356.27146858743,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 03:38:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),42882.91,4,0.015235478186990727,0.0,645.0599228219047,-8.020380421821983,-653.0803032437267,42356.27146858743,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 06:38:00,LONG_BUY_OPEN,42663.47,5,0.0,0.015226474318056862,0.0,649.874075966299,649.874075966299,0.0,42697.6144337735,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 09:34:00,LONG_BUY_ADD_DCA_x1,42361.31,5,0.015226474318056862,0.030452948636113725,649.874075966299,1295.145480120062,645.2714041537631,42697.6144337735,42546.41352140856,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 14:39:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),43141.02,5,0.030452948636113725,0.0,1295.145480120062,-18.10027754302496,-1313.245757663087,42546.41352140856,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 16:44:00,LONG_BUY_OPEN,43496.21,6,0.0,0.01518464245045728,0.0,660.7385865587245,660.7385865587245,0.0,43531.02089235694,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 17:50:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),44121.69,6,0.01518464245045728,0.0,660.7385865587245,-8.965511566408054,-669.7040981251325,43531.02089235694,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 18:49:00,LONG_BUY_OPEN,43809.46,7,0.0,0.015198856679353032,0.0,666.1200452213454,666.1200452213454,0.0,43844.52159263705,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 19:26:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),44408.12,7,0.015198856679353032,0.0,666.1200452213454,-8.562624997653757,-674.6826702189992,43844.52159263705,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-07 21:21:00,LONG_BUY_OPEN,43907.16,8,0.0,0.015282046908486948,0.0,671.2596752499371,671.2596752499371,0.0,43942.299783913564,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 00:16:00,LONG_BUY_ADD_DCA_x1,43553.9,8,0.015282046908486948,0.030564093816973895,671.2596752499371,1337.1186551946257,665.8589799446886,43942.299783913564,43765.528423369346,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 04:56:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),44294.77,8,0.030564093816973895,0.0,1337.1186551946257,-16.169318884302584,-1353.2879740789283,43765.528423369346,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 05:19:00,LONG_BUY_OPEN,44244.51,9,0.0,0.015384798477122315,0.0,680.9651472170507,680.9651472170507,0.0,44279.91977190876,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 05:50:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),44813.15,9,0.015384798477122315,0.0,680.9651472170507,-8.20035814525329,-689.165505362304,44279.91977190876,,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 06:33:00,LONG_BUY_OPEN,44760.3,10,0.0,0.015317437214589155,0.0,685.8873301901575,685.8873301901575,0.0,44796.12256902762,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 06:47:00,LONG_BUY_ADD_DCA_x3,44529.13,10,0.015317437214589155,0.06126974885835662,685.8873301901575,2732.9222757595867,2047.034945569429,44796.12256902762,44622.60631152461,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 08:13:00,LONG_BUY_ADD_DCA_x2,44254.53,10,0.06126974885835662,0.07658718607294578,2732.9222757595867,3411.0594068896335,678.1371311300468,44622.60631152461,44556.07460744297,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 12:36:00,LONG_SELL_PARTIAL_Stop Loss,43149.98,10,0.07658718607294578,0.015317437214589155,3411.0594068896335,768.3284844216591,-2642.7309224679743,44556.07460744297,50180.453037214844,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 15:00:00,LONG_BUY_ADD_DCA_x1,43509.19,10,0.015317437214589155,0.03063487442917831,768.3284844216591,1435.0443502187227,666.7158657970635,50180.453037214844,46862.23215886353,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-08 15:08:00,LONG_BUY_ADD_DCA_x3,43170.01,10,0.03063487442917831,0.07658718607294578,1435.0443502187227,3419.5996081045546,1984.555257885832,46862.23215886353,44667.62876030411,0.0,0.0,baseline_plus_debtrelief_hedge6x
2022-02-10 15:31:00,LONG_SELL_CLOSE_Take Profit (Debt-BEP),45209.8,10,0.07658718607294578,0.0,3419.5996081045546,-41.50676027014151,-3461.106368374696,44667.62876030411,,0.0,0.0,baseline_plus_debtrelief_hedge6x
