variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_rule,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref119_cagr_pct,ref119_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_119,delta_mdd_vs_119,delta_calmar_vs_119,meets_target,dominates_119,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_24_30,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.46,0.24000000000000005,0.3,30min,70917.20231184746,3445.860115592373,138.03341942930678,43.40852250179138,3.1798691011335487,72138,1512.7744386219995,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,16.07567973721146,-1.7031527849330814,0.47640621892076496,5.777362603709378,0.5703123509954366,0.09253056948063243,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_25_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.46,0.25000000000000006,0.29,30min,70566.41229638374,3428.320614819187,137.74672542986863,43.35407259074845,3.1772499605784006,72138,1496.8847135678714,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,15.788985737773316,-1.7576026959760114,0.47378707836561684,5.490668604271235,0.5158624399525067,0.08991142892548432,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w47_25_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.47,0.25,0.28,30min,69967.08052797748,3398.3540263988734,137.25439696475595,43.23810954042848,3.174384782859676,72138,1474.4405916690077,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,15.296657272660639,-1.8735657462959807,0.4709219006468923,4.998340139158557,0.39989938963253735,0.0870462512067598,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_26_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.46,0.26,0.28,30min,70183.6919992351,3409.1845999617553,137.43270219601533,43.300084132227376,3.173959241657153,72138,1479.3679285178082,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,15.474962503920011,-1.811591154497087,0.4704963594443692,5.17664537041793,0.461873981431431,0.08662071000423666,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w47_24_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.47,0.24000000000000005,0.29,30min,70334.43085059417,3416.7215425297086,137.55653826730222,43.340198439506075,3.173878828896056,72138,1491.3522154478605,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,15.5987985752069,-1.7714768472183877,0.47041594668327225,5.300481441704818,0.5019882887101303,0.08654029724313972,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w48_25_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.25,0.27,30min,69350.47618659199,3367.5238093295993,136.74453673611694,43.12238260174905,3.17108027167707,72138,1450.7708709921467,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,14.786797044021625,-1.9892926849754105,0.4676173894642863,4.488479910519544,0.2841724509531076,0.0837417400241538,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w47_26_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.47,0.26,0.27,30min,69568.25422728295,3378.4127113641475,136.92500442171917,43.18429116024328,3.170713255744633,72138,1455.9322781881317,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,14.96726472962385,-1.9273841264811793,0.4672503735318494,4.668947596121768,0.34608100944733877,0.08337472409171687,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_27_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.46,0.27,0.27,30min,69769.5724966617,3388.4786248330847,137.09145228885507,43.24655806722517,3.1699968371067007,72138,1460.2609135233297,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,15.13371259675975,-1.8651172194992895,0.4665339548939169,4.835395463257669,0.4083479164292285,0.08265830545378439,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w48_26_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.26,0.26,30min,68935.95676680095,3346.7978383400477,136.39984522053376,43.06873392604148,3.167027046923701,72138,1431.3095243239636,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,14.442105528438447,-2.042941360682981,0.4635641647109172,4.143788394936365,0.2305237752455369,0.07968851527078469,True,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w47_27_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.47,0.27,0.26,30min,69138.50852788753,3356.9254263943767,136.56847154367236,43.13093804105226,3.166369148143399,72138,1435.8687708033708,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,14.610731851577043,-1.980737245672202,0.4629062659306151,4.312414718074962,0.29272789025631596,0.0790306164904826,True,False,True
