final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,variant,trades,fee_paid,avg_gross_exposure,signal_tf,mode
1340.891141706174,34.08911417061739,7.30390259865441,38.973329940326316,0.18740771214155216,relrev_3d_14d_4h,2586,744.4709868695529,1.0,4h,reversal
835.9164670320512,-16.408353296794886,-4.19685705561238,50.214896001979795,-0.08357792985266589,relrev_1d_7d_4h,3586,780.8201244034597,1.0,4h,reversal
163.05930030270423,-83.69406996972958,-35.32908656804222,88.80731520193311,-0.39781730241151575,relmom_3d_14d_4h,2586,242.70431196093767,1.0,4h,momentum
170.4168045568057,-82.95831954431942,-34.51196906176751,86.64868730432009,-0.3982976561497987,relmom_1d_7d_4h,3586,366.4063285484178,1.0,4h,momentum
129.56627431569552,-87.04337256843044,-38.66516958549303,88.3866947617636,-0.43745463827684306,relmom_1d_7d_1h,3596,317.5790241514893,1.0,1h,momentum
