start_timestamp,end_timestamp,final_equity,total_contributed,net_profit,money_multiple,twr_final_index,twr_cagr_pct,twr_mdd_pct,twr_calmar_ratio,xirr_pct,variant,w1,w2,w3,threshold_pct,rebalance_count,fee_paid,turnover_notional
2022-01-01 08:00:00,2026-03-15 05:15:00,163891.29621720483,52000.0,111891.29621720483,3.151755696484708,8.489573673990348,66.41291788474979,73.92913018696072,0.8983321962100319,58.138738606641404,eth_w30_70_00_thr02,0.3,0.7,0.0,2.0,309,339.92627419192576,849815.6854798143
2022-01-01 08:00:00,2026-03-15 05:15:00,164402.76074731638,52000.0,112402.76074731638,3.1615915528330074,8.581892895643923,66.84205812983477,74.7034445416953,0.8947654092781123,58.3129691881501,eth_w25_75_00_thr02,0.25,0.75,0.0,2.0,248,273.28518595149484,683212.9648787372
2022-01-01 08:00:00,2026-03-15 05:15:00,164202.66254877995,52000.0,112202.66254877995,3.1577435105534604,8.49573921876682,66.44168854313055,74.619604094276,0.8904052674842218,58.24485783728275,eth_w20_75_05_thr02,0.2,0.75,0.05,2.0,227,238.528679397553,596321.6984938821
2022-01-01 08:00:00,2026-03-15 05:15:00,166399.27848017638,52000.0,114399.27848017638,3.1999861246187766,8.463191723857422,66.28963008364055,74.56370756738059,0.8890334486618299,58.98892490433665,eth_w20_70_10_thr02,0.2,0.7,0.1,2.0,288,303.51352021838375,758783.8005459592
2022-01-01 08:00:00,2026-03-15 05:15:00,165381.79372533472,52000.0,113381.79372533472,3.1804191101025907,8.275269827558041,65.40285802078417,73.83776285521036,0.8857643499984373,58.64526053219841,eth_w30_65_05_thr02,0.3,0.65,0.05,2.0,344,393.06400423338414,982660.010583461
2022-01-01 08:00:00,2026-03-15 05:15:00,163047.02489387183,52000.0,111047.02489387183,3.1355197094975353,8.308520211047439,65.56087040401759,74.18745570696181,0.8837190840319559,57.85017455370243,eth_w25_70_05_thr02,0.25,0.7,0.05,2.0,280,294.5357251732061,736339.3129330146
2022-01-01 08:00:00,2026-03-15 05:15:00,168133.5563857641,52000.0,116133.5563857641,3.233337622803156,8.29313697054037,65.48782621120692,74.14925169090299,0.8831893069426796,59.57080519766795,eth_w20_65_15_thr02,0.2,0.65,0.15,2.0,337,359.2537256656337,898134.3141640843
2022-01-01 08:00:00,2026-03-15 05:15:00,166600.81057088004,52000.0,114600.81057088004,3.2038617417476933,8.461468078042898,66.28156497875064,75.0486386908373,0.8831814425281903,59.056792883671385,eth_w15_75_10_thr02,0.15,0.75,0.1,2.0,222,238.80007884612783,597000.1971153194
2022-01-01 08:00:00,2026-03-15 05:15:00,168353.05235043773,52000.0,116353.05235043773,3.2375586990468794,8.474919956904337,66.34447441440948,75.1749483031207,0.8825343536904747,59.64410440978203,eth_w10_75_15_thr02,0.1,0.75,0.15,2.0,219,227.1260652144602,567815.1630361509
2022-01-01 08:00:00,2026-03-15 05:15:00,172459.375225366,52000.0,120459.375225366,3.316526446641654,8.470972367854504,66.3260208998647,75.19651710035195,0.8820358103999775,61.00138634779413,eth_w05_75_20_thr02,0.05,0.75,0.2,2.0,234,257.940412329801,644851.0308245025
2022-01-01 08:00:00,2026-03-15 05:15:00,168326.33113797993,52000.0,116326.33113797993,3.2370448295765373,8.386444815191636,65.92930468589762,74.75480797371836,0.8819406600452572,59.6351851597706,eth_w15_70_15_thr02,0.15,0.7,0.15,2.0,280,300.10645192132034,750266.1298033012
2022-01-01 08:00:00,2026-03-15 05:15:00,164149.34940356278,52000.0,112149.34940356278,3.1567182577608226,8.159331452034143,64.84808388444154,74.01411004070877,0.8761583953218407,58.22669929306377,eth_w25_65_10_thr02,0.25,0.65,0.1,2.0,324,341.4521702218536,853630.425554634
2022-01-01 08:00:00,2026-03-15 05:15:00,164723.3243829229,52000.0,112723.3243829229,3.1677562381331326,8.022011082517096,64.18317106382396,73.7518141241684,0.8702588787275837,58.42194639125211,eth_w30_60_10_thr02,0.3,0.6,0.1,2.0,373,419.98210056494617,1049955.251412366
2022-01-01 08:00:00,2026-03-15 05:15:00,167472.02463778213,52000.0,115472.02463778213,3.220615858418887,7.993760300083441,64.04530524408112,74.10211604409422,0.8642844315804852,59.349423405504155,eth_w20_60_20_thr02,0.2,0.6,0.2,2.0,385,404.4883099450828,1011220.7748627081
2022-01-01 08:00:00,2026-03-15 05:15:00,158749.73732657343,52000.0,106749.73732657343,3.052879563972566,8.12282202270234,64.67214036789346,74.8274637114804,0.8642834750788317,56.36241234296699,eth_w25_75_00_thr04,0.25,0.75,0.0,4.0,66,119.27985765024592,298199.64412561484
