max_entries,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor
3,9967.317242439281,896.731724243928,74.91620171368199,63.117338527923074,1.1869353724498237,1321,668,653,99.62149886449659,6707.205945785396
4,16957.767743076576,1595.7767743076577,99.04564077331442,74.0773722007741,1.3370566183809556,1379,691,688,99.63741841914431,10373.625471124225
5,12590.84796274798,1159.084796274798,85.1427507518348,80.78294398583496,1.0539693968910604,1395,704,691,99.6415770609319,12650.061286718175
6,7665.430053056473,666.5430053056474,64.09594403879693,83.89181445330446,0.7640309660303481,1431,721,710,99.65059399021663,14289.100975151217
7,2833.0171437916897,183.30171437916897,28.81784991337708,94.00999274901622,0.3065402843962952,1446,735,711,99.65421853388659,14225.111913651626
