variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_quality_bearish_ob,blocked_long_quality_delay,blocked_long_quality_cap,blocked_long_quality_cooldown,blocked_long_prebear_cooldown,prebear_exit_count,slow_bear_short_entries,survived_to_end
slowbear_short_24h_ob4,169353.81415148574,16835.381415148575,168.4455509221724,64.58087249455677,2.6082885599969234,-11.57638712131417,33.147253725078954,120,67,53,12,82,25,0,25,46776,719,52,18223,4409,50,0,0,0,0,1,1
baseline_row6,167824.23752729833,16682.423752729832,167.97731613586654,64.58087249455677,2.601038196720315,-11.57638712131418,33.147253725078954,120,67,53,12,82,25,0,25,46778,719,53,18288,4409,50,0,0,0,0,0,1
slowbear_short_12h_ob4,105823.43361266346,10482.343361266347,145.2236204991167,64.58087249455677,2.248709484551435,-11.57638712131417,33.147253725078954,121,67,54,13,83,24,0,24,47154,719,50,17990,4409,50,0,0,0,0,4,1
prebear_exit_ob5_cool4h,28914.940319057438,2791.4940319057437,91.0484716053691,63.13595448535443,1.442101768279903,-0.8079013308929794,21.868418485564366,345,292,53,9,311,25,0,25,46778,719,53,18288,12891,49,0,0,64485,288,0,1
combo_prebear_plus_slow12h,18232.63619338758,1723.2636193387582,74.8267300137381,63.13595448535443,1.1851682709745928,-0.8079013308929572,21.868418485564355,346,292,54,10,312,24,0,24,47154,719,50,17990,12891,49,0,0,64485,288,4,1
