variant,mode,rearm_bull_bars,rearm_open_scale,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events,bear_flat_events,bear_blocked_signals,bull_rearm_events,bull_rearm_open_events
baseline_m4,baseline,0,0.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,0,66,66,0,0,0,0,0
bearflat_wait2bull,structural,2,0.0,3051.9147433407134,31.170527093211618,51.67013025416553,0.6032600835315046,20021.83868172939,901.0919340864696,75.04577005866236,55.02700768353995,1.3637988547414792,0,0,0,0,57,354,63,0
bearflat_wait1bull,structural,1,0.0,3004.806669881561,30.67526865663708,52.176025453251384,0.5879188456798319,19974.730608270238,898.7365304135119,74.945585339064,55.02700768353995,1.3619782084113257,0,0,0,0,57,258,66,0
bearflat_pilot20_wait1bull,structural,1,0.2,2384.374118160293,23.528824420788872,53.83431136024046,0.4370600055295994,19354.29805654897,867.7149028274484,73.60912035117894,55.31175253925469,1.3308043403422922,0,0,0,0,64,258,66,66
bearflat_pilot15_wait2bull,structural,2,0.15,2444.106442851492,24.2743231128564,52.266118882071,0.4644370699807843,19414.03038124017,870.7015190620085,73.73918798228725,56.34393624704557,1.3087333419335574,0,0,0,0,60,354,63,63
