variant,bullish_close_bars,shallow_gap_pct,target_net_entries,governor_gap_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events,bullish_hold_bars,early_release_events,governor_reduce_events,governor_close_events
shallow6_else2bull,2,0.06,4.0,0.0,20072.782130070198,107.377957805511,61.04205953455898,1.7590815025616713,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727,5408,64,64,0,35,32,0,0
release1bull,1,-1.0,4.0,0.0,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,5408,66,66,0,0,0,0,0
gov_net2p5_gap3,2,0.06,2.5,0.03,16058.58765850541,96.42592509218626,55.09806092276548,1.7500783780277265,33028.51159689409,1551.4255798447045,97.68972897591797,51.18200199210479,1.9086734628119344,5408,51,51,13,576,42,23,0
gov_net2p0_gap3,2,0.06,2.0,0.03,14837.755213176108,92.68520055871564,53.30647322702191,1.7387231784025061,31807.679151564786,1490.3839575782392,95.88841580051346,51.30327140956883,1.869050708969581,5408,51,51,13,576,42,23,0
gov_net2p0_gap5,2,0.06,2.0,0.05,14837.755213176108,92.68520055871564,53.30647322702191,1.7387231784025061,31807.679151564786,1490.3839575782392,95.88841580051346,51.30327140956883,1.869050708969581,5408,51,51,13,576,42,23,0
gov_net1p5_gap5,2,0.06,1.5,0.05,13673.175657450545,88.89301967122718,52.85519896302425,1.6818216829230705,30643.099595839223,1432.1549797919613,94.12064987424694,51.431260814518076,1.8300280487714284,5408,51,51,13,576,42,23,0
