variant,episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,bulltrim_events_pt,unlock_events_pt,slow_bear_entries_pt,episode_label,is_representative
unlock_slowbear_24h_2p0,U1,39,40,41.0,2021-01-02 09:45:00,2021-01-02 10:00:00,2021-01-02 10:15:00,1000.0,998.824,1001.0011905960715,0.11760000000000659,0.010416666666666666,0.020833333333333332,True,-0.3087247286158612,-0.2348992500338043,100.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,1,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U2,42,46,49.0,2021-01-02 10:30:00,2021-01-02 11:30:00,2021-01-02 12:15:00,1009.4130633536207,996.2677803137943,1019.6933614954352,1.3022699543983718,0.041666666666666664,0.07291666666666667,True,-0.4455138535925274,0.3484151103756217,100.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U3,51,52,55.0,2021-01-02 12:45:00,2021-01-02 13:00:00,2021-01-02 13:45:00,1117.5115660806632,1092.8034217115185,1156.0903938109623,2.21099674661992,0.010416666666666666,0.041666666666666664,True,-0.8078021646651945,1.261286970206421,100.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U4,56,58,63.0,2021-01-02 14:00:00,2021-01-02 14:30:00,2021-01-02 15:45:00,1178.407587052785,1146.2465234204515,1192.8611637144327,2.729196925214028,0.020833333333333332,0.07291666666666667,True,-1.0309409167881145,0.46331749922119414,100.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U5,67,68,69.0,2021-01-02 16:45:00,2021-01-02 17:00:00,2021-01-02 17:15:00,1303.0240389793862,1288.5427526192432,1304.144302504274,1.1113598772502842,0.010416666666666666,0.020833333333333332,True,-0.44637464355308243,0.03453127154391389,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U6,69,70,72.0,2021-01-02 17:15:00,2021-01-02 17:30:00,2021-01-02 18:00:00,1304.144302504274,1283.8449690921743,1314.7422725466972,1.5565251002607638,0.010416666666666666,0.03125,True,-0.6254955295609932,0.32656160423503167,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U7,72,73,77.0,2021-01-02 18:00:00,2021-01-02 18:15:00,2021-01-02 19:15:00,1314.7422725466972,1293.488933800682,1326.2724760170745,1.6165403052605054,0.010416666666666666,0.052083333333333336,True,-0.6527602036334734,0.3541306170857572,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U8,79,84,116.0,2021-01-02 19:45:00,2021-01-02 21:00:00,2021-01-03 05:00:00,1347.5693585750107,1098.3691125807486,1351.7188859247053,18.49257289864318,0.052083333333333336,0.3854166666666667,True,-7.577365190178142,0.1261735676456377,100.0,0.0,100.0,0.0,0.0,0.0,0.3333333333333333,4.166666666666667,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U9,118,120,123.0,2021-01-03 05:30:00,2021-01-03 06:00:00,2021-01-03 06:45:00,1434.6480757290715,1395.4249975087528,1436.93016732659,2.7339860474413613,0.020833333333333332,0.052083333333333336,True,-1.1618815832945217,0.067601022634034,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U10,123,124,126.0,2021-01-03 06:45:00,2021-01-03 07:00:00,2021-01-03 07:30:00,1436.93016732659,1414.6723520101143,1479.7663923042978,1.5489837865876543,0.010416666666666666,0.03125,True,-0.6588844226317003,1.268054432155652,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U11,127,237,533.0,2021-01-03 07:45:00,2021-01-04 11:15:00,2021-01-07 13:15:00,1483.1341103035847,803.7589721791799,1495.4227162938632,45.806723303352705,1.1458333333333333,4.229166666666667,True,-14.05843907189933,10.729137314912363,100.0,0.0,99.09909909909909,0.0,0.9009009009009009,0.0,1.8468468468468469,4.513513513513513,2,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U12,534,536,537.0,2021-01-07 13:30:00,2021-01-07 14:00:00,2021-01-07 14:15:00,1496.5831555727932,1483.1385109179505,1521.8442816412282,0.8983560054634521,0.020833333333333332,0.03125,True,-0.4349740873162533,0.8172722699844925,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U13,537,541,544.0,2021-01-07 14:15:00,2021-01-07 15:15:00,2021-01-07 16:00:00,1521.8442816412282,1495.0727297427475,1565.23213051146,1.759151854196872,0.041666666666666664,0.07291666666666667,True,-0.8591176899107489,1.3923461976705687,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U14,545,546,549.0,2021-01-07 16:15:00,2021-01-07 16:30:00,2021-01-07 17:15:00,1577.8872893747305,1569.3706811573725,1584.8612149370556,0.539747564652282,0.010416666666666666,0.041666666666666664,True,-0.2684754504228004,0.21984430406745137,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U15,550,551,552.0,2021-01-07 17:30:00,2021-01-07 17:45:00,2021-01-07 18:00:00,1614.3883061101037,1605.63864233221,1619.6695547812033,0.5419801261430157,0.010416666666666666,0.020833333333333332,True,-0.2726845936471767,0.16459091279221738,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U16,553,587,619.0,2021-01-07 18:15:00,2021-01-08 02:45:00,2021-01-08 10:45:00,1668.5967069224348,1375.7216708679048,1687.4604981751993,17.552176319148426,0.3541666666666667,0.6875,True,-8.97585548037072,0.5781259692791529,100.0,0.0,100.0,0.0,0.0,0.0,1.0285714285714285,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U17,619,620,621.0,2021-01-08 10:45:00,2021-01-08 11:00:00,2021-01-08 11:15:00,1687.4604981751993,1680.1236833317635,1751.1774045732577,0.43478439058987073,0.010416666666666666,0.020833333333333332,True,-0.2235617580141902,1.9415323834047093,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U18,621,622,625.0,2021-01-08 11:15:00,2021-01-08 11:30:00,2021-01-08 12:15:00,1751.1774045732577,1711.9910071576642,1776.036933170597,2.2377171675043828,0.010416666666666666,0.041666666666666664,True,-1.1713161681066397,0.7430733544795398,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U19,625,2402,4495.0,2021-01-08 12:15:00,2021-01-27 00:30:00,2021-02-17 19:45:00,1776.036933170597,629.0567859034572,1802.5519734809905,64.58087249455677,18.510416666666668,40.3125,True,-22.477082878723497,25.5166042654845,69.23509561304837,30.76490438695163,62.485939257592804,0.11248593925759282,37.40157480314961,0.3374578177727784,4.6265466816647915,3.5984251968503935,6,0,0,0,fast_selloff_long_stuck,1
unlock_slowbear_24h_2p0,U20,4495,4496,4502.0,2021-02-17 19:45:00,2021-02-17 20:00:00,2021-02-17 21:30:00,1802.5519734809905,1782.6660842726033,1811.2520124732496,1.1032075358129445,0.010416666666666666,0.07291666666666667,True,-0.6311845304031727,0.27614204063364234,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U21,4502,4618,4645.0,2021-02-17 21:30:00,2021-02-19 02:30:00,2021-02-19 09:15:00,1811.2520124732496,1715.0897355682673,1820.003701565835,5.309160527787271,1.2083333333333333,1.4895833333333333,True,-3.043816394272836,0.27701647251876516,100.0,0.0,100.0,0.0,0.0,0.0,1.5042735042735043,4.948717948717949,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U22,4646,4648,4649.0,2021-02-19 09:30:00,2021-02-19 10:00:00,2021-02-19 10:15:00,1824.090065317273,1821.3327907754078,1831.5468984063173,0.1511589035153027,0.020833333333333332,0.03125,True,-0.08692255713249608,0.23507524926098533,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U23,4651,4661,4668.0,2021-02-19 10:45:00,2021-02-19 13:15:00,2021-02-19 15:00:00,1835.8596817836064,1810.5643454398282,1840.9135840423296,1.3778469343148747,0.10416666666666667,0.17708333333333334,True,-0.7944828731011766,0.158734350566192,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
unlock_slowbear_24h_2p0,U24,4668,4669,4670.0,2021-02-19 15:00:00,2021-02-19 15:15:00,2021-02-19 15:30:00,1840.9135840423296,1840.418103428729,1864.7993531132352,0.02691493060269501,0.010416666666666666,0.020833333333333332,True,-0.015537527838072052,0.7490218419974548,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,mixed_trend_whipsaw,0
