start_timestamp,end_timestamp,final_equity,total_contributed,net_profit,money_multiple,twr_final_index,twr_cagr_pct,twr_mdd_pct,twr_calmar_ratio,xirr_pct,variant,threshold_pct,rebalance_count,threshold_hits,fee_paid,turnover_notional,avg_drift_before_pct,avg_drift_after_pct,topup_count
2022-01-01 08:00:00,2026-03-15 05:19:00,351282.8200907184,52000.0,299282.8200907184,6.75543884789843,22.795434097533036,110.53834993303253,46.712718806182494,2.366343744445092,104.20655306200048,case123_thr0,0.0,9203,9203,1931.8540473155592,4829635.118288897,0.12314683997249529,0.12236348062444531,50
2022-01-01 08:00:00,2026-03-15 05:19:00,344149.6687675606,52000.0,292149.6687675606,6.618262860914627,22.578661487999344,110.05987026156406,45.94164379066513,2.3956450222603287,102.86828353255531,case123_thr10,10.0,11,11,120.96998566333123,302424.9641583281,3.833535640326481,3.833484322092129,50
2022-01-01 08:00:00,2026-03-15 05:19:00,352324.8196880065,52000.0,300324.8196880065,6.775477301692432,22.893277029614,110.75318265367913,46.7594864725947,2.368571406758082,104.40025770955744,case123_thr2,2.0,206,206,542.7553357850319,1356888.33946258,0.7749337919547324,0.77470455938036,50
2022-01-01 08:00:00,2026-03-15 05:19:00,340383.6441371981,52000.0,288383.6441371981,6.545839310330733,21.892313252269638,108.5214437331413,46.88167563110605,2.314794475074973,102.15293433170247,case123_thr4,4.0,59,59,250.03699663728216,625092.4915932053,1.518424960902139,1.5183095103876696,50
2022-01-01 08:00:00,2026-03-15 05:19:00,330724.43144991715,52000.0,278724.43144991715,6.360085220190714,21.02327172931942,106.51988030632364,46.872583928347666,2.272541246481238,100.2893670415864,case123_thr6,6.0,22,22,156.29026640055957,390725.6660013989,2.5246616157925414,2.5245977724071214,50
2022-01-01 08:00:00,2026-03-15 05:19:00,326219.02266863734,52000.0,274219.02266863734,6.273442743627641,20.972965040248436,106.40209799441651,46.51984870813216,2.2872408434083384,99.40548250276433,case123_thr8,8.0,13,13,104.1666623448638,260416.65586215944,3.068778790033498,3.0687298288454237,50
2022-01-01 08:00:00,2026-03-15 05:19:00,324966.2335501788,52000.0,272966.2335501788,6.249350645195746,21.829590742754778,108.37902944986335,49.15094827744086,2.205024180573273,99.15800347075393,case12_thr0,0.0,9198,9198,1478.1161113241028,3695290.2783102626,0.09630379687013157,0.09568299821256966,50
2022-01-01 08:00:00,2026-03-15 05:19:00,303087.06831351185,52000.0,251087.06831351185,5.828597467567535,20.585346332868884,105.48727762532818,49.80206563053247,2.118130569280171,94.7100006183935,case12_thr10,10.0,5,5,48.56272391415878,121406.80978539694,3.780281038356862,3.7802566972555107,50
2022-01-01 08:00:00,2026-03-15 05:19:00,323546.27019791486,52000.0,271546.27019791486,6.2220436576522085,21.719373565403544,108.12801934586429,49.11536585837569,2.2015110232030395,98.8765924128536,case12_thr2,2.0,154,154,377.7064687147881,944266.1717869702,0.6265129424525663,0.6263446569742227,50
2022-01-01 08:00:00,2026-03-15 05:19:00,322247.50206500007,52000.0,270247.50206500007,6.197067347403848,21.750969604069315,108.20007563278615,49.07659229492975,2.204718595426289,98.61834895923928,case12_thr4,4.0,46,46,186.62076782715255,466551.9195678814,1.6274436802281498,1.6273509380179174,50
2022-01-01 08:00:00,2026-03-15 05:19:00,312118.2459252166,52000.0,260118.2459252166,6.002273960100319,20.887333619638262,106.2011144400071,48.89047475733711,2.1722250595259203,96.57568567898332,case12_thr6,6.0,18,18,123.99663343970263,309991.5835992565,2.5349214987175412,2.534869773934979,50
2022-01-01 08:00:00,2026-03-15 05:19:00,314784.54735321074,52000.0,262784.54735321074,6.053548987561745,21.140949494335544,106.79456122531606,48.56354221491148,2.199068608972364,97.11836849946084,case12_thr8,8.0,11,11,92.8295758139108,232073.939534777,3.1910203447034045,3.190978388251646,50
