entry_time,exit_time,side,avg_entry,exit_price,quantity,num_entries,pnl,return_pct,reason
2022-01-01 05:20:00,2022-01-02 04:53:00,SHORT,47374.4175,46792.61,0.042663945275810675,4,24.02366040011539,2.402366040011539,Take Profit
2022-01-02 08:21:00,2022-01-02 18:31:00,SHORT,47395.47999999999,46810.47,0.032555374025251826,3,18.435646414853032,1.8435646414853033,Take Profit
2022-01-02 21:13:00,2022-01-03 16:15:00,SHORT,47163.89,46545.48,0.011036342040078634,1,6.6195075459251305,0.6619507545925131,Take Profit
2022-01-03 17:28:00,2022-01-03 20:21:00,SHORT,46687.23,45983.73,0.01121768141715006,1,7.685306543560169,0.768530654356017,Take Profit
2022-01-03 21:27:00,2022-01-04 18:36:00,SHORT,46561.48499999999,45942.1,0.04582766471322005,4,27.54280044638907,2.7542800446389073,Take Profit
2022-01-05 02:18:00,2022-01-05 12:23:00,SHORT,46614.22,46049.0,0.035003636721875245,3,19.140002560976114,1.9140002560976117,Take Profit
2022-01-05 12:56:00,2022-01-05 18:03:00,SHORT,46346.560000000005,45780.33,0.0238036969668543,2,13.042470892596953,1.3042470892596953,Take Profit
2022-01-06 00:35:00,2022-01-06 03:10:00,SHORT,43685.57,43154.04,0.012735310079583218,1,6.549367334366158,0.6549367334366158,Take Profit
2022-01-06 10:31:00,2022-01-07 03:23:00,SHORT,43012.695,42326.29,0.02609156292911513,2,17.46763562872285,1.746763562872285,Take Profit
2022-01-07 04:50:00,2022-01-07 13:38:00,SHORT,42160.92,41491.67,0.02721595683808972,2,17.76258491394744,1.776258491394744,Take Profit
2022-01-07 14:45:00,2022-01-07 15:09:00,SHORT,42069.64,41524.36,0.013707601500569114,1,7.246801194451842,0.7246801194451842,Take Profit
2022-01-07 16:25:00,2022-01-07 23:20:00,SHORT,41879.0,41347.72,0.04182169549783207,3,21.527337681940327,2.152733768194033,Take Profit
2022-01-08 00:01:00,2022-01-08 17:01:00,SHORT,41826.42,41321.47,0.028317215018665454,2,13.830734143324106,1.3830734143324106,Take Profit
