variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,whipsaw_avg_return_pct,whipsaw_avg_mdd_pct,trades,bulltrim_count,unlock_short_lock_count,slow_bear_short_entries,blocked_chop_cooldown,blocked_chop_delay,chop_downshift_entries
combo_base,213826.42612301745,21282.642612301745,180.76405308447337,63.97840034221949,2.825391884097902,19.1725148243272,44.95496589039673,-50.401250941113425,50.401250941113425,238,65,41,17,0,0,0
combo_chopcool8_x6,185133.99039160874,18413.399039160875,173.08699558819578,63.97840034221949,2.705397363209397,19.17251482432718,44.954965890396736,-50.40125094111342,50.40125094111342,238,65,41,17,878,0,0
combo_chopdelay24_x6,175621.52404149843,17462.15240414984,170.3292682518521,64.36290060977367,2.6463889389408153,12.333786367022292,48.14073812621221,-50.71192939636912,50.71192939636912,238,65,41,17,63,45,0
combo_choplev2_x6,139823.43888485097,13882.343888485097,158.72851617313572,64.7475904441077,2.4514968832725215,41.00793248387837,35.073767452755874,-48.26378227112882,48.26378227112882,188,21,35,13,67,0,112
combo_choppack_x6,108873.58560463146,10787.358560463146,146.5680758354965,67.24885613878288,2.1794880128967677,34.16525992967352,38.27755863189372,-48.644837571375355,48.644837571375355,188,21,35,13,893,43,112
unlock_choppack_x6,79343.69359235716,7834.369359235716,132.0047718510143,67.73996074547874,1.9486986765020362,28.68355108321112,40.823570254129734,-49.2366318423878,49.2366318423878,166,0,35,13,883,43,111
