variant,rebalance_mode,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,rebalance_count,fee_paid,deferred_due_bars,flat_rebalance_hits
weekly_due_allflat_w75_5_20,weekly_due_allflat,0.75,0.05,0.2,39837.89064535555,1891.894532267777,77.82788466666986,72.69774730151246,1.070568037602049,2,18.94974285438862,181803,2
no_rebalance_w85_0_15,no_rebalance,0.85,0.0,0.15,41732.84808470513,1986.6424042352567,79.42507891533828,74.70613424421559,1.0631667629286823,0,0.0,0,0
monthly_due_allflat_w85_0_15,monthly_due_allflat,0.85,0.0,0.15,41708.997537706986,1985.4498768853493,79.40534354445133,74.70613424421559,1.0629025895634479,1,23.850546998142853,179339,1
weekly_due_allflat_w65_35_0,weekly_due_allflat,0.65,0.35,0.0,35256.36223305225,1662.8181116526125,73.69626668315261,70.0060701836519,1.052712521783039,2,13.51415503216426,181803,2
no_rebalance_w75_25_0,no_rebalance,0.75,0.25,0.0,37586.62501331587,1779.3312506657933,75.84857436444766,72.88378619896778,1.0406782951339302,0,0.0,0,0
monthly_due_allflat_w75_25_0,monthly_due_allflat,0.75,0.25,0.0,37568.06814686622,1778.4034073433113,75.83186583064835,72.88378619896778,1.040449046151808,1,18.556866449646826,179339,1
weekly_due_allflat_w70_25_5,weekly_due_allflat,0.7,0.25,0.05,34054.460498624765,1602.7230249312381,72.54088605202513,70.00620760593132,1.0362064812932255,2,14.12692388010471,181803,2
no_rebalance_w80_15_5,no_rebalance,0.8,0.15,0.05,36906.825320479475,1745.341266023974,75.23208870868159,72.63079534837206,1.0358152949837942,0,0.0,0,0
monthly_due_allflat_w80_15_5,monthly_due_allflat,0.8,0.15,0.05,36887.46640140327,1744.3733200701633,75.21439896095923,72.63079534837206,1.0355717378585072,1,19.35891907620745,179339,1
weekly_due_allflat_w75_10_15,weekly_due_allflat,0.75,0.1,0.15,36344.34800765601,1717.2174003828004,74.71502668094767,72.23735007829461,1.0342991070404386,2,16.813678209860036,181803,2
no_rebalance_w85_5_10,no_rebalance,0.85,0.05,0.1,36227.02562765272,1711.351281382636,74.6063634416066,74.34584999247672,1.003504075199305,0,0.0,0,0
monthly_due_allflat_w85_5_10,monthly_due_allflat,0.85,0.05,0.1,36206.91903992537,1710.3459519962687,74.58771233105139,74.34584999247672,1.0032532056409222,1,20.106587727347215,179339,1
weekly_due_allflat_w75_15_10,weekly_due_allflat,0.75,0.15,0.1,32785.50771175678,1539.2753855878389,71.28474239319236,71.82936980309083,0.9924177615452916,2,14.63841144914191,181803,2
weekly_due_allflat_w80_0_20,weekly_due_allflat,0.8,0.0,0.2,34780.788736811824,1639.0394368405912,73.2429615983818,74.08191045234587,0.9886753885146667,2,17.215197100027932,181803,2
weekly_due_allflat_w70_30_0,weekly_due_allflat,0.7,0.3,0.0,30202.70933881619,1410.1354669408095,68.60161641284132,71.2138287392053,0.9633187490040699,2,11.932632721905833,181803,2
weekly_due_allflat_w80_5_15,weekly_due_allflat,0.8,0.05,0.15,31449.520008222964,1472.4760004111483,69.91907066896444,73.63317484971607,0.9495593638555984,2,15.040560411960879,181803,2
weekly_due_allflat_w75_20_5,weekly_due_allflat,0.75,0.2,0.05,29161.369757658827,1358.0684878829413,67.46717698590889,71.42359216468685,0.9446063260210247,2,12.423942572234884,181803,2
no_rebalance_w80_20_0,no_rebalance,0.8,0.2,0.0,31401.00286342899,1470.0501431714495,69.86860039964355,73.98925944881456,0.944307334877143,0,0.0,0,0
monthly_due_allflat_w80_20_0,monthly_due_allflat,0.8,0.2,0.0,31385.167670725292,1469.2583835362645,69.85211410802215,73.98925944881456,0.9440845148118495,1,15.835192703695137,179339,1
