period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,profit_factor,avg_holding_hours,mode,mode_group,entry_scale,entries_scaled_total,scale_1_0_entries,scale_0_5_entries,scale_0_25_entries,avg_entry_scale,avg_entry_run_len_4h,avg_entry_flip_count_30_4h,avg_entry_near_ema_ratio_30_4h,avg_entry_risk_score
2022-01-01 03:20:00,2026-02-12,8765.012017335306,776.5012017335306,69.53312399710092,44.91298284728209,1.5481742602920598,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.3201284275843546,69.53119979919678,baseline_es0.3,baseline,0.3,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,8159.532790569597,715.9532790569597,66.60763722555649,45.7800989599396,1.4549474277860837,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.7506727154933133,69.53119979919678,regime_scaled_es0.3,regime_scaled,0.3,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
2022-01-01 03:20:00,2026-02-12,16070.592461144619,1507.059246114462,96.46162309810273,57.20943037925468,1.6861140280306255,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.103856480956532,69.53119979919678,baseline_es0.4,baseline,0.4,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,14646.022405716965,1364.6022405716967,92.07674135524861,58.10124889725314,1.584763548165343,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.5355399629928987,69.53119979919678,regime_scaled_es0.4,regime_scaled,0.4,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
2022-01-01 03:20:00,2026-02-12,27950.29873271394,2695.029873271394,124.76367963290818,68.13628282936308,1.83109019823344,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.93274167298082,69.53119979919678,baseline_es0.5,baseline,0.5,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,24971.719723377522,2397.1719723377523,118.68832451214719,68.96064439167648,1.721102312183046,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.361461674215291,69.53119979919678,regime_scaled_es0.5,regime_scaled,0.5,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
2022-01-01 03:20:00,2026-02-12,46144.276801480264,4514.427680148026,153.9060976882079,77.68376146578372,1.9811875066837072,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.796646774362269,69.53119979919678,baseline_es0.6,baseline,0.6,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,40473.767714161746,3947.3767714161745,145.93802390288414,78.37182301389885,1.8621236343705156,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.21916037378055,69.53119979919678,regime_scaled_es0.6,regime_scaled,0.6,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
2022-01-01 03:20:00,2026-02-12,72266.63708726614,7126.663708726614,183.17090828926612,85.84874419091565,2.1336469160448,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.688270265159228,69.53119979919678,baseline_es0.7,baseline,0.7,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,62320.239622334,6132.023962233399,173.15572611100154,86.35430385631737,2.005177719909719,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.10180920894266,69.53119979919678,regime_scaled_es0.7,regime_scaled,0.7,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
2022-01-01 03:20:00,2026-02-12,107144.65127342864,10614.465127342864,211.63026538403585,92.63490395335383,2.2845629061223183,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.602469381238299,69.53119979919678,baseline_es0.8,baseline,0.8,1819,1819,0,0,1.0,136.07201759208357,0.371632765255635,2.233828110683526,0.0
2022-01-01 03:20:00,2026-02-12,90983.53702023905,8998.353702023904,199.48307432237442,92.93357455035081,2.1465124449108086,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.0043884151703564,69.53119979919678,regime_scaled_es0.8,regime_scaled,0.8,1819,1703,107,9,0.9668774051676745,136.07201759208357,0.371632765255635,2.233828110683526,0.245739417262232
