curve,variant,variant_label,initial_capital,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor,case1_off_ratio_1m_pct,case1_off_ratio_4h_pct
total_baseline_hedge5x_plus_case2,baseline_hedge5x,Baseline hedge5x,2000.0,45573.19532455645,2178.6597662278227,113.77926304686437,64.73926177164876,1.7575001619294288,1989,1235,754,,,0.0,0.0
case1_baseline_hedge5x,baseline_hedge5x,Baseline hedge5x,1000.0,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295,0.0,0.0
total_r2_soft_off_block_hedgeopen_plus_case2,r2_soft_off_block_hedgeopen,R2 soft-off (block hedge open),2000.0,44442.75925634021,2122.1379628170107,112.47822081787682,64.31973698754166,1.7487357082890926,1924,1172,752,,,43.76510534547711,43.78606302707501
case1_r2_soft_off_block_hedgeopen,r2_soft_off_block_hedgeopen,R2 soft-off (block hedge open),1000.0,27484.99151326363,2648.499151326363,123.84797816864092,76.83889295167448,1.611787643095423,545,481,64,91.19266055045871,2.1960733239653454,43.76510534547711,43.78606302707501
total_r2_soft_off_keep_hedgeopen_plus_case2,r2_soft_off_keep_hedgeopen,R2 soft-off (keep hedge open allowed),2000.0,40767.13322714747,1938.3566613573735,108.06679656881127,62.729015925664434,1.722756127672612,1926,1172,754,,,43.76510534547711,43.78606302707501
case1_r2_soft_off_keep_hedgeopen,r2_soft_off_keep_hedgeopen,R2 soft-off (keep hedge open allowed),1000.0,23809.36548407089,2280.936548407089,116.16814991213201,76.83889295167452,1.5118404944380501,547,481,66,90.85923217550274,2.190776534257702,43.76510534547711,43.78606302707501
case2_study42_fixed,case2,Case2 fixed,1000.0,16957.767743076576,1595.7767743076577,99.04564077331442,74.0773722007741,1.3370566183809556,1379,691,688,99.63741841914431,10373.625471124225,,
