policy_name,family,segment,tc_bps,turnover_mean,turnover_total,q1_p,q5_p,p_tail_1pct,p_tail_5pct,cvar_1pct,cvar_5pct,final_equity,total_return_pct,cagr_pct,mdd_pct,calmar,event_count,event_mean_return,event_worst_return,event_loss_pct,event_bar_neg_pct,event_mean_worst_dd,event_worst_dd_min,cvar1_loss,cvar5_loss,event_worst_loss
A_static_w1_0.30,A_static,val,0.0,0.0,0.0,-0.003234077902071678,-0.0015019895735027666,0.01000146445610871,0.05000115614955951,-0.00492808035736081,-0.002664232511444465,2.0888370828149223,108.88370828149223,81.46182329812441,54.01591973739216,1.5081076781468374,173.0,-0.015506844830645298,-0.14956864050261964,0.9479768786127167,0.5042630057803468,-0.027069362048964533,-0.15272442138887465,0.00492808035736081,0.002664232511444465,0.14956864050261964
A_static_w1_0.28,A_static,val,0.0,0.0,0.0,-0.0032439028117916976,-0.0015096417835639695,0.01000146445610871,0.05000115614955951,-0.004948006091568602,-0.002674520645490228,2.1265409018832995,112.65409018832995,84.10691653178375,54.10110911934034,1.5546246260174503,173.0,-0.015187675175724958,-0.1486142529845047,0.9479768786127167,0.5042630057803468,-0.026570096497240677,-0.1517474291701586,0.004948006091568602,0.002674520645490228,0.1486142529845047
A_static_w1_0.26,A_static,val,0.0,0.0,0.0,-0.003255926791076369,-0.0015155811365063475,0.01000146445610871,0.05000115614955951,-0.004971256868691827,-0.0026862297709565335,2.164008008014123,116.4008008014123,86.7265415557115,54.18788262204133,1.6004785084633448,173.0,-0.014868383443003933,-0.14765899301520546,0.9479768786127167,0.5042630057803468,-0.026070472122718225,-0.15076949446905408,0.004971256868691827,0.0026862297709565335,0.14765899301520546
A_static_w1_0.24,A_static,val,0.0,0.0,0.0,-0.003267772810154335,-0.0015244594886484055,0.01000146445610871,0.05000115614955951,-0.004998129876886826,-0.002699364126738426,2.201202177145715,120.12021771457148,89.31852570226599,54.27623039910661,1.645628759504569,173.0,-0.014548969153801435,-0.14670286006006317,0.9364161849710982,0.5042389210019268,-0.025574340292911335,-0.14979061662121063,0.004998129876886826,0.002699364126738426,0.14670286006006317
A_static_w1_0.22,A_static,val,0.0,0.0,0.0,-0.0032845257284296403,-0.0015324574641529733,0.01000146445610871,0.05000115614955951,-0.005028629050137629,-0.0027138779075579315,2.238086902981958,123.80869029819581,91.88069428137007,54.36614244620647,1.690035197407707,173.0,-0.014229431830699468,-0.14574585358442504,0.930635838150289,0.5042630057803468,-0.0250798312203301,-0.14881079496211758,0.005028629050137629,0.0027138779075579315,0.14574585358442504
A_static_w1_0.20,A_static,val,0.0,0.0,0.0,-0.003303647793630525,-0.0015397203676914461,0.01000146445610871,0.05000115614955951,-0.005062093089856005,-0.0027296621209074857,2.274625454523451,127.46254545234513,94.41087355421185,54.457608602917276,1.733658087019897,173.0,-0.013909770997593938,-0.14478797305365554,0.9248554913294798,0.5042630057803468,-0.024587842668692655,-0.14783002882711482,0.005062093089856005,0.0027296621209074857,0.14478797305365554
A_static_w1_0.18,A_static,val,0.0,0.0,0.0,-0.00332100956752303,-0.0015477326653630873,0.01000146445610871,0.05000115614955951,-0.005099000541420471,-0.002746798234756397,2.3107809350492277,131.07809350492278,96.90689374558279,54.55061855461464,1.7764582018178616,173.0,-0.01358998617974619,-0.14382921793312842,0.9248554913294798,0.5042630057803468,-0.02409828355447067,-0.14684831755138572,0.005099000541420471,0.002746798234756397,0.14382921793312842
A_static_w1_0.16,A_static,val,0.0,0.0,0.0,-0.0033454982701817877,-0.0015562503456060402,0.01000146445610871,0.05000115614955951,-0.005138949921520809,-0.002765270806772885,2.346516342449992,134.65163424499923,99.36659209105892,54.645161834390834,1.8183968855687922,173.0,-0.01327007690383432,-0.14286958768823255,0.9017341040462428,0.503781310211946,-0.02361071091718095,-0.14586566046996252,0.005138949921520809,0.002765270806772885,0.14286958768823255
A_static_w1_0.14,A_static,val,0.0,0.0,0.0,-0.003369708329183333,-0.0015646641569864745,0.01000146445610871,0.05000115614955951,-0.005181760718665535,-0.00278496964174974,2.381794630743159,138.1794630743159,101.7878159106024,54.741227824984506,1.8594361134177066,173.0,-0.012950042698005102,-0.14190908178436468,0.8959537572254336,0.5036127167630058,-0.023131673474999795,-0.14488205691771738,0.005181760718665535,0.00278496964174974,0.14190908178436468
A_static_w1_0.12,A_static,val,0.0,0.0,0.0,-0.003399762910162282,-0.0015740844101116691,0.01000146445610871,0.05000115614955951,-0.005227362275925999,-0.002805882213606254,2.416578772666563,141.6578772666563,104.16842570501919,54.8388057607474,1.8995385523070785,173.0,-0.012629883091926438,-0.14094769968694354,0.8901734104046243,0.5035163776493257,-0.02269551533913559,-0.14389750622937858,0.005227362275925999,0.002805882213606254,0.14094769968694354
