variant,leverage,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,liquidations,survived_to_end,first_liquidation_ts
lev_1x,1.0,2896.974203748849,189.6974203748849,28.825653067029467,37.24721964022623,0.7739007997230042,140,70,70,9,130,0,1,
lev_1.5x,1.5,3629.73447617045,262.973447617045,35.93220678622122,49.87150616786311,0.7204957208486259,140,70,70,9,130,0,1,
lev_2x,2.0,3916.270040388206,291.6270040388206,38.41402252772106,59.857508062779054,0.6417577973248086,140,70,70,9,130,0,1,
lev_2.5x,2.5,3724.2300050809804,272.423000508098,36.766670938300415,67.8294527064661,0.5420458144842955,140,70,70,9,130,0,1,
lev_3x,3.0,3171.9203921384956,217.19203921384954,31.63740377546631,74.23400187094467,0.4261848072055678,140,70,70,9,130,0,1,
lev_4x,4.0,1724.438751010975,72.4438751010975,13.855146686296349,84.69795943023448,0.16358300459066907,140,70,70,9,130,0,1,
lev_5x,5.0,666.9296771822114,-33.30703228177886,-9.195289262974505,93.01759175472598,-0.09885537874621782,140,70,70,9,130,0,1,
