variant,entry_time,exit_time,avg_entry,exit_price,quantity,num_entries,pnl,return_pct,reason,hours_held
minus20_rsi15_case2_longonly_noreentry,2022-01-21 22:49:00,2022-01-21 22:55:00,35671.31,36123.11,0.01682024013135486,1,7.3563447375496365,0.7356344737549637,Take Profit,0.1
minus20_rsi15_case2_longonly_noreentry,2022-01-22 05:57:00,2022-01-22 10:09:00,35402.549999999996,34284.15,0.050901695503068306,3,-57.62650479618391,-5.76265047961839,Stop Loss,4.2
minus20_rsi15_case2_longonly_noreentry,2022-01-22 11:48:00,2022-01-22 11:56:00,34813.55,35465.98,0.01635171971855751,1,10.436380590176894,1.0436380590176895,Take Profit,0.13333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-01-22 14:55:00,2022-01-22 16:12:00,34834.735,35322.27,0.032743592621492394,2,15.501016220980626,1.5501016220980626,Take Profit,1.2833333333333334
minus20_rsi15_case2_longonly_noreentry,2022-01-22 16:50:00,2022-01-22 20:12:00,34613.52,35246.27,0.03349173227212953,2,20.719710139817483,2.071971013981748,Take Profit,3.3666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-01-22 20:45:00,2022-01-22 20:56:00,34755.0,35383.03,0.017164928268498636,1,10.537151031716324,1.0537151031716323,Take Profit,0.18333333333333332
minus20_rsi15_case2_longonly_noreentry,2022-01-23 02:13:00,2022-01-23 05:51:00,34999.195,35436.67,0.03434269275138278,2,14.537273243434276,1.4537273243434277,Take Profit,3.6333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-01-23 14:47:00,2022-01-23 21:25:00,34938.043333333335,35393.66,0.05214750766436205,3,23.020997154563258,2.302099715456326,Take Profit,6.633333333333334
minus20_rsi15_case2_longonly_noreentry,2022-01-24 07:45:00,2022-01-24 08:47:00,34978.74,35420.19,0.017855286470979836,1,7.629241156891513,0.7629241156891513,Take Profit,1.0333333333333334
minus20_rsi15_case2_longonly_noreentry,2022-01-24 09:20:00,2022-01-24 11:03:00,34145.39666666667,33055.01,0.054589131912807225,3,-60.24503930314042,-6.024503930314042,Stop Loss,1.7166666666666666
minus20_rsi15_case2_longonly_noreentry,2022-01-24 12:47:00,2022-01-24 12:55:00,33092.14,33560.24,0.017901190394140263,1,8.139239925131815,0.8139239925131815,Take Profit,0.13333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-01-24 16:48:00,2022-01-24 16:55:00,33818.2,34291.15,0.017657062450306002,1,8.108715295055177,0.8108715295055178,Take Profit,0.11666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-05-09 17:05:00,2022-05-09 17:12:00,31065.3,31467.9,0.01937377032629094,1,7.556019186464498,0.7556019186464498,Take Profit,0.11666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-05-09 17:53:00,2022-05-09 20:13:00,31240.5,31720.0,0.019405616246610916,1,9.058774531312935,0.9058774531312935,Take Profit,2.3333333333333335
minus20_rsi15_case2_longonly_noreentry,2022-05-09 20:38:00,2022-05-09 20:54:00,30934.5,31318.0,0.01976857299112614,1,7.333602874522439,0.7333602874522439,Take Profit,0.26666666666666666
minus20_rsi15_case2_longonly_noreentry,2022-05-09 21:56:00,2022-05-09 22:45:00,30832.799999999996,31243.5,0.03980107458513326,2,15.848891382594159,1.584889138259416,Take Profit,0.8166666666666667
minus20_rsi15_case2_longonly_noreentry,2022-05-09 23:43:00,2022-05-10 00:46:00,30302.0,30815.4,0.020625672479367117,1,10.334984911818832,1.0334984911818832,Take Profit,1.05
minus20_rsi15_case2_longonly_noreentry,2022-05-10 14:48:00,2022-05-10 15:36:00,31034.2,31433.3,0.020334022421273336,1,7.859642177540314,0.7859642177540314,Take Profit,0.8
minus20_rsi15_case2_longonly_noreentry,2022-05-10 21:27:00,2022-05-10 22:57:00,30443.8,30917.3,0.06211560104999314,3,28.64355842823457,2.864355842823457,Take Profit,1.5
minus20_rsi15_case2_longonly_noreentry,2022-05-11 01:48:00,2022-05-11 02:22:00,30704.5,31150.0,0.021245965203042446,1,9.2003527715255,0.92003527715255,Take Profit,0.5666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-05-11 06:49:00,2022-05-11 08:12:00,30510.76666666667,30893.8,0.06419484136395766,3,23.79547503438905,2.379547503438905,Take Profit,1.3833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-05-11 12:32:00,2022-05-11 12:51:00,30118.599999999995,29088.8,0.06565162046486317,3,-68.37192949766713,-6.837192949766713,Stop Loss,0.31666666666666665
minus20_rsi15_case2_longonly_noreentry,2022-05-11 17:41:00,2022-05-11 17:50:00,29605.5,30002.2,0.02128050132074042,1,8.186590131247693,0.8186590131247692,Take Profit,0.15
minus20_rsi15_case2_longonly_noreentry,2022-05-11 19:42:00,2022-05-11 20:54:00,29320.3,28426.8,0.021649868219570906,1,-19.590331843748245,-1.9590331843748243,Stop Loss,1.2
minus20_rsi15_case2_longonly_noreentry,2022-05-11 21:26:00,2022-05-11 21:34:00,28071.9,28411.0,0.022188526059887567,1,7.271969901352855,0.7271969901352855,Take Profit,0.13333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-05-11 22:30:00,2022-05-12 00:00:00,28767.3,29125.1,0.02179863167071784,1,7.545595480873698,0.7545595480873698,Take Profit,1.5
minus20_rsi15_case2_longonly_noreentry,2022-05-12 01:24:00,2022-05-12 03:55:00,29348.05,28466.6,0.04290642838051394,2,-38.30843134965874,-3.830843134965874,Stop Loss,2.5166666666666666
minus20_rsi15_case2_longonly_noreentry,2022-05-12 04:13:00,2022-05-12 04:30:00,27725.6,28063.1,0.0434645246719328,2,14.181377355848953,1.4181377355848952,Take Profit,0.2833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-05-12 05:07:00,2022-05-12 06:31:00,27268.9,27832.7,0.02260439433491892,1,12.492700995545071,1.249270099554507,Take Profit,1.4
minus20_rsi15_case2_longonly_noreentry,2022-05-12 07:17:00,2022-05-12 07:18:00,26668.0,27226.9,0.02338925506240867,1,12.817527890916763,1.2817527890916762,Take Profit,0.016666666666666666
minus20_rsi15_case2_longonly_noreentry,2022-05-12 16:01:00,2022-05-12 16:07:00,28940.1,29298.8,0.02181352075569551,1,7.568865902301206,0.7568865902301206,Take Profit,0.1
minus20_rsi15_case2_longonly_noreentry,2022-05-12 17:08:00,2022-05-12 23:05:00,28610.174999999996,29143.8,0.08667274999999987,4,45.24035690217025,4.524035690217025,Take Profit,5.95
minus20_rsi15_case2_longonly_noreentry,2022-05-13 16:35:00,2022-05-13 17:14:00,29778.6,30227.9,0.022238263846535624,1,9.722765539957843,0.9722765539957844,Take Profit,0.65
minus20_rsi15_case2_longonly_noreentry,2022-05-13 17:46:00,2022-05-13 18:52:00,29626.7,30144.5,0.04487136762506009,2,22.69334417970663,2.269334417970663,Take Profit,1.1
minus20_rsi15_case2_longonly_noreentry,2022-05-13 23:06:00,2022-05-14 18:03:00,29347.35,29718.5,0.09191130507978937,4,33.02029443235847,3.302029443235847,Take Profit,18.95
minus20_rsi15_case2_longonly_noreentry,2022-05-14 20:45:00,2022-05-14 21:44:00,29328.3,29749.8,0.023880035798720962,1,9.78126457355897,0.9781264573558969,Take Profit,0.9833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-13 07:55:00,2022-06-13 08:31:00,24579.8,24891.1,0.028725275472331897,1,8.656176772813154,0.8656176772813153,Take Profit,0.6
minus20_rsi15_case2_longonly_noreentry,2022-06-13 11:16:00,2022-06-13 12:11:00,23688.799999999996,24003.8,0.05985444560108233,2,18.27945670781345,1.827945670781345,Take Profit,0.9166666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-13 14:42:00,2022-06-13 15:15:00,22874.9,23157.4,0.06254257403270642,2,17.088947802677566,1.7088947802677568,Take Profit,0.55
minus20_rsi15_case2_longonly_noreentry,2022-06-13 21:41:00,2022-06-14 00:59:00,22440.425,21740.2,0.12708686077608183,4,-90.0945545951894,-9.00945545951894,Stop Loss,3.3
minus20_rsi15_case2_longonly_noreentry,2022-06-14 01:05:00,2022-06-14 03:15:00,21453.949999999997,21811.3,0.06275968094656031,2,21.879623894641583,2.1879623894641584,Take Profit,2.1666666666666665
minus20_rsi15_case2_longonly_noreentry,2022-06-14 04:18:00,2022-06-14 05:04:00,21888.8,22167.9,0.03150865350846239,1,8.514672922167824,0.8514672922167824,Take Profit,0.7666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-14 06:17:00,2022-06-14 06:37:00,22329.3,22608.9,0.031108449162389876,1,8.416591259297254,0.8416591259297255,Take Profit,0.3333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-14 07:11:00,2022-06-14 07:28:00,22236.6,22504.6,0.03145773802932099,1,8.147496267356162,0.8147496267356162,Take Profit,0.2833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-14 09:30:00,2022-06-14 12:41:00,22084.866666666665,22381.9,0.09444350720655632,3,27.20733970367584,2.720733970367584,Take Profit,3.183333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-14 13:40:00,2022-06-14 14:50:00,22208.1,22486.3,0.032423195615519644,1,8.728501938809885,0.8728501938809885,Take Profit,1.1666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-14 17:37:00,2022-06-14 21:33:00,22162.850000000002,21496.0,0.12943404130400749,4,-87.42601610432605,-8.742601610432606,Stop Loss,3.933333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-15 00:05:00,2022-06-15 01:41:00,21884.399999999998,22149.1,0.06125148372904664,2,15.670601647773477,1.5670601647773477,Take Profit,1.6
minus20_rsi15_case2_longonly_noreentry,2022-06-15 03:09:00,2022-06-15 05:24:00,21529.999999999996,20871.0,0.12499867949772905,4,-83.41766876492183,-8.341766876492184,Stop Loss,2.25
minus20_rsi15_case2_longonly_noreentry,2022-06-15 07:28:00,2022-06-15 11:28:00,20621.75,20891.1,0.11931667690838905,4,31.14088427369008,3.1140884273690084,Take Profit,4.0
minus20_rsi15_case2_longonly_noreentry,2022-06-15 14:19:00,2022-06-15 17:54:00,20920.699999999997,21244.6,0.12156744393039828,4,38.342634401326684,3.834263440132669,Take Profit,3.5833333333333335
minus20_rsi15_case2_longonly_noreentry,2022-06-15 18:08:00,2022-06-15 18:16:00,20359.8,20629.1,0.03294979008881303,1,8.601488665028873,0.8601488665028874,Take Profit,0.13333333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-16 03:18:00,2022-06-16 09:25:00,22012.649999999998,21271.0,0.12136766709493509,4,-91.04497495966889,-9.10449749596689,Stop Loss,6.116666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-16 10:27:00,2022-06-16 10:58:00,21009.9,21265.7,0.058905374855483535,2,14.566929276006944,1.4566929276006944,Take Profit,0.5166666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-16 17:50:00,2022-06-17 07:23:00,20816.15,21096.5,0.1192709386203624,4,32.43112789957664,3.2431127899576637,Take Profit,13.55
minus20_rsi15_case2_longonly_noreentry,2022-06-17 11:50:00,2022-06-18 06:51:00,20734.824999999997,19740.2,0.12332752101179995,4,-123.63843955847193,-12.363843955847193,Stop Loss,19.016666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-18 08:16:00,2022-06-18 08:26:00,18733.4,19000.1,0.030591991483259813,1,7.926383769632869,0.7926383769632869,Take Profit,0.16666666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-18 11:48:00,2022-06-18 18:22:00,18925.925,18310.5,0.11985069268836648,4,-74.63692299112599,-7.463692299112598,Stop Loss,6.566666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-18 20:08:00,2022-06-18 21:21:00,17856.5,18114.5,0.02981456383856739,1,7.476127103688896,0.7476127103688895,Take Profit,1.2166666666666666
minus20_rsi15_case2_longonly_noreentry,2022-06-19 01:55:00,2022-06-19 03:05:00,18336.25,18582.5,0.0582139838661397,2,13.902488984959884,1.3902488984959884,Take Profit,1.1666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-19 05:20:00,2022-06-19 06:17:00,18110.4,18340.2,0.030083652180822297,1,6.692527192062255,0.6692527192062255,Take Profit,0.95
minus20_rsi15_case2_longonly_noreentry,2022-06-19 12:28:00,2022-06-19 15:33:00,19372.0,19810.3,0.05619196537585263,2,24.183666547562066,2.4183666547562064,Take Profit,3.0833333333333335
minus20_rsi15_case2_longonly_noreentry,2022-06-20 01:10:00,2022-06-20 03:43:00,19872.3,20117.9,0.056412277295697824,2,13.400896682460662,1.3400896682460661,Take Profit,2.55
minus20_rsi15_case2_longonly_noreentry,2022-06-20 04:54:00,2022-06-20 06:15:00,19930.1,20177.0,0.028636693646625883,1,6.839278634268784,0.6839278634268784,Take Profit,1.35
minus20_rsi15_case2_longonly_noreentry,2022-06-20 07:07:00,2022-06-20 08:13:00,19996.4,20324.6,0.02874011119535759,1,9.198851988715811,0.9198851988715812,Take Profit,1.1
minus20_rsi15_case2_longonly_noreentry,2022-06-20 12:03:00,2022-06-20 14:55:00,20609.6,20886.8,0.028146113607144065,1,7.5669497936244765,0.7566949793624477,Take Profit,2.8666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-20 17:52:00,2022-06-20 20:39:00,20072.449999999997,20335.2,0.05800005890889395,2,14.76773835914244,1.4767738359142442,Take Profit,2.783333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-21 02:07:00,2022-06-21 05:20:00,20494.4,20767.7,0.028937774605128717,1,7.668305390914885,0.7668305390914885,Take Profit,3.216666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-21 07:19:00,2022-06-21 08:09:00,20972.4,21231.8,0.02849082490049831,1,7.148555380740239,0.714855538074024,Take Profit,0.8333333333333334
minus20_rsi15_case2_longonly_noreentry,2022-06-21 10:22:00,2022-06-21 13:35:00,21081.9,21372.9,0.028539491428067706,1,8.061003327030523,0.8061003327030523,Take Profit,3.216666666666667
minus20_rsi15_case2_longonly_noreentry,2022-06-21 15:40:00,2022-06-22 00:15:00,21127.425,20477.3,0.11356418034490301,4,-74.76110786280074,-7.476110786280074,Stop Loss,8.583333333333334
minus20_rsi15_case2_longonly_noreentry,2022-06-22 00:53:00,2022-06-22 11:28:00,20338.275,20639.1,0.10924548502170119,4,31.961881635688382,3.1961881635688383,Take Profit,10.583333333333334
minus20_rsi15_case2_longonly_noreentry,2022-06-22 12:05:00,2022-06-22 13:46:00,20336.55,20593.5,0.05673884564084484,2,14.111665820333227,1.4111665820333228,Take Profit,1.6833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-22 15:43:00,2022-06-23 00:27:00,20041.925,20337.8,0.11562119734250449,4,33.26882944878856,3.3268829448788564,Take Profit,8.733333333333333
