max_entries,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor,hedge_open_events,hedge_close_events
3,6921.37768900166,592.137768900166,60.07166647281807,62.305143057634346,0.9641526128469005,546,480,66,90.84249084249085,2.497244503655642,66,66
4,17551.85797305705,1655.185797305705,100.71934060422518,68.9322644330123,1.4611349479473903,598,532,66,91.63879598662207,2.4524223542209627,66,66
5,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295,66,66
6,5168.760707694814,416.87607076948143,49.10022213701228,83.21256874955598,0.590057762605415,427,361,66,88.2903981264637,2.0745461553145037,66,66
